图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,FM-ED-预测置信度,FM-LD-预测置信度,FM-MD-预测置信度,FM-OM-预测置信度,FM-SD-预测置信度,HF-ED-预测置信度,HF-LD-预测置信度,HF-MD-预测置信度,HF-OM-预测置信度,HF-SD-预测置信度,RJ-ED-预测置信度,RJ-LD-预测置信度,RJ-MD-预测置信度,RJ-OM-预测置信度,RJ-SD-预测置信度
../Image/Train_Image\test\FM-ED\IMG_20230524_113652_1.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,3.0,FM-OM,2.0,FM-MD,1.0,0.99980015,5.767097e-08,2.8755136e-05,7.23366e-05,8.889989e-05,1.4079956e-06,1.6294365e-07,6.2057184e-06,1.9373589e-08,1.964858e-06,3.956509e-09,1.3133995e-09,5.947384e-08,4.811054e-10,1.4138648e-08
../Image/Train_Image\test\FM-ED\IMG_20230524_113653.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,3.0,FM-OM,2.0,FM-MD,1.0,0.99983895,6.130715e-08,1.958199e-05,5.541031e-05,7.975707e-05,9.931476e-07,9.5655864e-08,4.1511744e-06,8.912906e-09,1.0304631e-06,1.3587752e-09,4.8604587e-10,1.8574354e-08,2.2872113e-10,5.756954e-09
../Image/Train_Image\test\FM-ED\IMG_20230524_113702.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,3.0,FM-OM,1.0,0.99877876,7.4241893e-09,7.317165e-05,4.2745955e-06,0.001140225,2.792101e-07,2.9765303e-07,1.1805931e-06,4.781795e-08,7.209282e-07,1.01255885e-07,4.715032e-10,8.598202e-07,1.7529894e-10,8.447218e-08
../Image/Train_Image\test\FM-ED\IMG_20230524_113702_1.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,3.0,FM-OM,1.0,0.9987883,1.4770931e-08,7.9620535e-05,3.5643245e-06,0.0011197632,4.0278059e-07,9.1646257e-07,1.6794982e-06,7.353516e-08,3.545837e-06,4.0225007e-07,5.2126486e-10,1.6152993e-06,2.689313e-10,1.7207854e-07
../Image/Train_Image\test\FM-ED\IMG_20230524_113706.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.99088913,5.984383e-07,0.008854033,0.00012114997,0.00012868101,3.0004767e-07,4.0263697e-07,6.021433e-07,1.0370543e-06,5.677984e-07,1.2984329e-07,2.9586314e-08,2.544458e-06,1.0188139e-08,8.192328e-07
../Image/Train_Image\test\FM-ED\IMG_20230524_113706_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,4.0,FM-SD,3.0,FM-OM,1.0,0.97472316,9.826181e-07,0.024997225,0.00013648937,0.0001366381,1.3857182e-07,2.2803462e-07,4.627733e-07,4.832869e-07,4.1970276e-07,7.946392e-08,1.9540593e-08,3.1612726e-06,7.4643705e-09,5.268003e-07
../Image/Train_Image\test\FM-ED\IMG_20230524_113711_2.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,3.0,FM-OM,1.0,0.996525,3.296322e-09,1.5799925e-06,1.1414475e-06,0.00347122,6.204892e-08,1.0335398e-07,6.683464e-07,5.1478417e-09,2.1615149e-07,1.0131772e-09,2.2531684e-12,6.506712e-09,2.5099404e-12,6.1520206e-10
../Image/Train_Image\test\FM-ED\IMG_20230524_113712.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,2.0,FM-MD,9.0,HF-SD,1.0,0.9997484,5.589178e-09,8.252452e-07,5.1472983e-07,0.00024923717,1.7891988e-08,6.036249e-08,2.1119334e-07,6.246686e-10,8.119892e-07,1.120412e-09,3.784186e-13,1.5133607e-09,4.738951e-13,1.9694613e-10
../Image/Train_Image\test\FM-ED\IMG_20230524_113716_1.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,3.0,FM-OM,7.0,HF-MD,1.0,0.99976045,5.901233e-10,9.607057e-07,5.648982e-06,0.00022962285,1.11321384e-07,1.0948451e-08,3.1740758e-06,1.3041457e-10,3.0843747e-08,4.0907666e-11,1.1898491e-12,2.9853346e-09,1.7142457e-12,9.242523e-11
../Image/Train_Image\test\FM-ED\IMG_20230524_113717.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,3.0,FM-OM,2.0,FM-MD,1.0,0.9998068,7.632708e-09,1.08473505e-05,4.3095657e-05,0.00013253221,4.3389812e-07,1.8392282e-07,5.827587e-06,1.282656e-08,1.7814142e-07,4.4496462e-10,1.01442736e-10,5.4582873e-08,7.48904e-11,2.7285165e-09
../Image/Train_Image\test\FM-ED\IMG_20230524_113720_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,4.0,FM-SD,1.0,0.81268674,5.260339e-06,0.18646474,0.0006818079,7.877566e-05,1.0206087e-06,2.871875e-06,7.91486e-06,2.9589805e-06,1.3276484e-06,4.799591e-07,3.4726781e-07,5.583458e-05,1.50392e-07,9.762341e-06
../Image/Train_Image\test\FM-ED\IMG_20230524_113736_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,12.0,RJ-MD,1.0,0.9753753,1.0871272e-06,0.022986006,0.001410714,2.5994716e-05,4.9437904e-07,3.860403e-06,5.4250618e-06,1.2266768e-05,9.595183e-07,3.51514e-07,1.575976e-06,0.00016384321,2.0023047e-07,1.1991457e-05
../Image/Train_Image\test\FM-ED\IMG_20230524_113740.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,12.0,RJ-MD,1.0,0.9582812,9.2633604e-07,0.04085617,0.00053035317,0.00010454993,1.7456563e-06,5.844298e-06,5.8663327e-06,1.3603325e-05,1.1542364e-06,7.4670083e-07,1.0363316e-06,0.00017108757,2.7358115e-07,2.5411475e-05
