2023-07-16 11:16:15,494 INFO    MainThread:22236 [wandb_setup.py:_flush():76] Configure stats pid to 22236
2023-07-16 11:16:15,495 INFO    MainThread:22236 [wandb_setup.py:_flush():76] Loading settings from C:\Users\58436\.config\wandb\settings
2023-07-16 11:16:15,495 INFO    MainThread:22236 [wandb_setup.py:_flush():76] Loading settings from G:\Projects\drought_wheat\deep_learning\模型训练\wandb\settings
2023-07-16 11:16:15,501 INFO    MainThread:22236 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-07-16 11:16:15,501 INFO    MainThread:22236 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-16 11:16:15,501 INFO    MainThread:22236 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'deep_learning\\模型训练\\run.py', 'program': 'G:\\Projects\\drought_wheat\\deep_learning\\模型训练\\run.py'}
2023-07-16 11:16:15,502 INFO    MainThread:22236 [wandb_init.py:_log_setup():506] Logging user logs to G:\Projects\drought_wheat\deep_learning\模型训练\wandb\run-20230716_111615-pkmwo891\logs\debug.log
2023-07-16 11:16:15,502 INFO    MainThread:22236 [wandb_init.py:_log_setup():507] Logging internal logs to G:\Projects\drought_wheat\deep_learning\模型训练\wandb\run-20230716_111615-pkmwo891\logs\debug-internal.log
2023-07-16 11:16:15,502 INFO    MainThread:22236 [wandb_init.py:init():546] calling init triggers
2023-07-16 11:16:15,502 INFO    MainThread:22236 [wandb_init.py:init():553] wandb.init called with sweep_config: {}
config: {}
2023-07-16 11:16:15,502 INFO    MainThread:22236 [wandb_init.py:init():602] starting backend
2023-07-16 11:16:15,502 INFO    MainThread:22236 [wandb_init.py:init():606] setting up manager
2023-07-16 11:16:15,505 INFO    MainThread:22236 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=spawn, using: spawn
2023-07-16 11:16:15,508 INFO    MainThread:22236 [wandb_init.py:init():613] backend started and connected
2023-07-16 11:16:15,510 INFO    MainThread:22236 [wandb_init.py:init():701] updated telemetry
2023-07-16 11:16:15,670 INFO    MainThread:22236 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-07-16 11:16:16,642 INFO    MainThread:22236 [wandb_run.py:_on_init():2133] communicating current version
2023-07-16 11:16:21,656 INFO    MainThread:22236 [wandb_run.py:_on_init():2142] got version response 
2023-07-16 11:16:21,656 INFO    MainThread:22236 [wandb_init.py:init():789] starting run threads in backend
2023-07-16 11:16:26,222 INFO    MainThread:22236 [wandb_run.py:_console_start():2114] atexit reg
2023-07-16 11:16:26,222 INFO    MainThread:22236 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-07-16 11:16:26,222 INFO    MainThread:22236 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-07-16 11:16:26,222 INFO    MainThread:22236 [wandb_run.py:_redirect():2059] Redirects installed.
2023-07-16 11:16:26,222 INFO    MainThread:22236 [wandb_init.py:init():831] run started, returning control to user process
2023-07-16 13:35:32,247 WARNING MsgRouterThr:22236 [router.py:message_loop():77] message_loop has been closed
