Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,6.9556394,0.0
1.0,1.0,6.8928056,0.0
1.0,2.0,6.9742694,0.0
1.0,3.0,6.854157,0.0
1.0,4.0,6.96825,0.0
1.0,5.0,6.8907866,0.0
1.0,6.0,6.7706075,0.0
1.0,7.0,6.69302,0.0
1.0,8.0,6.8472147,0.0625
1.0,9.0,6.8043714,0.0
1.0,10.0,6.8936515,0.0
1.0,11.0,6.8589706,0.0
1.0,12.0,6.761335,0.0625
1.0,13.0,6.918791,0.0
1.0,14.0,6.702528,0.0625
1.0,15.0,6.813897,0.0
1.0,16.0,6.7529635,0.0625
1.0,17.0,6.664659,0.125
1.0,18.0,6.648581,0.0
1.0,19.0,6.72737,0.0
1.0,20.0,6.6626368,0.0625
1.0,21.0,6.6230297,0.0625
1.0,22.0,6.7644854,0.0
1.0,23.0,6.6457257,0.0625
1.0,24.0,6.6816425,0.0
1.0,25.0,6.7288947,0.0
1.0,26.0,6.745678,0.0
1.0,27.0,6.6738276,0.0625
1.0,28.0,6.6184254,0.0625
1.0,29.0,6.542566,0.0625
1.0,30.0,6.5783668,0.0
1.0,31.0,6.464972,0.0
1.0,32.0,6.6161075,0.0625
1.0,33.0,6.5586486,0.0
1.0,34.0,6.6247854,0.0
1.0,35.0,6.50804,0.0
1.0,36.0,6.6069164,0.0625
1.0,37.0,6.575204,0.0
1.0,38.0,6.383614,0.125
1.0,39.0,6.5382776,0.125
1.0,40.0,6.4717994,0.0
1.0,41.0,6.264957,0.1875
1.0,42.0,6.5666814,0.0625
1.0,43.0,6.405472,0.1875
1.0,44.0,6.3650985,0.125
1.0,45.0,6.4106536,0.125
1.0,46.0,6.395913,0.125
1.0,47.0,6.4508195,0.0625
1.0,48.0,6.3559732,0.125
1.0,49.0,6.2546372,0.0625
1.0,50.0,6.2059126,0.3125
1.0,51.0,6.302333,0.1875
1.0,52.0,6.2530246,0.0625
1.0,53.0,6.185019,0.125
1.0,54.0,6.247254,0.0
1.0,55.0,6.322165,0.0625
1.0,56.0,6.446218,0.0
1.0,57.0,6.2680583,0.0
1.0,58.0,6.33218,0.0625
1.0,59.0,6.1447644,0.125
1.0,60.0,6.1344194,0.1875
1.0,61.0,6.269278,0.125
1.0,62.0,6.297133,0.125
1.0,63.0,6.191162,0.1875
1.0,64.0,6.16613,0.125
1.0,65.0,6.173667,0.125
1.0,66.0,6.284717,0.0
1.0,67.0,6.363682,0.0625
1.0,68.0,6.1393476,0.125
1.0,69.0,6.1328015,0.0625
1.0,70.0,6.1698728,0.125
1.0,71.0,6.2259965,0.0625
1.0,72.0,6.2416406,0.0625
1.0,73.0,6.28054,0.0
1.0,74.0,6.02565,0.0625
1.0,75.0,6.148848,0.125
1.0,76.0,6.017742,0.125
1.0,77.0,6.074055,0.125
1.0,78.0,6.1080046,0.0625
1.0,79.0,6.013308,0.3125
1.0,80.0,6.0388594,0.0625
1.0,81.0,6.0885367,0.0625
1.0,82.0,5.8860507,0.1875
1.0,83.0,5.8634367,0.1875
1.0,84.0,5.9442863,0.0625
1.0,85.0,6.0117726,0.125
1.0,86.0,6.07381,0.0
1.0,87.0,5.890171,0.125
1.0,88.0,5.896646,0.0625
1.0,89.0,5.8925447,0.125
1.0,90.0,5.7699966,0.0625
1.0,91.0,6.060626,0.0
1.0,92.0,5.7286534,0.1875
1.0,93.0,5.8300753,0.25
1.0,94.0,6.0562024,0.0625
1.0,95.0,5.720247,0.1875
1.0,96.0,5.7781606,0.125
1.0,97.0,5.8601546,0.125
1.0,98.0,5.7355795,0.125
1.0,99.0,5.9098883,0.0
1.0,100.0,5.9156017,0.0
1.0,101.0,5.801756,0.125
1.0,102.0,5.69191,0.125
1.0,103.0,5.8090005,0.0625
1.0,104.0,5.7940483,0.0625
1.0,105.0,5.7525105,0.25
1.0,106.0,5.829738,0.125
1.0,107.0,5.7865424,0.125
1.0,108.0,5.768426,0.0625
1.0,109.0,5.5305324,0.25
1.0,110.0,5.7000175,0.0625
1.0,111.0,5.575708,0.0625
1.0,112.0,5.681038,0.0625
1.0,113.0,5.7721357,0.125
1.0,114.0,5.633286,0.125
1.0,115.0,5.785504,0.0625
1.0,116.0,5.585322,0.125
1.0,117.0,5.895142,0.0625
1.0,118.0,5.6845894,0.1875
1.0,119.0,5.517248,0.125
1.0,120.0,5.651699,0.0625
1.0,121.0,5.4219656,0.125
1.0,122.0,5.8070917,0.0
1.0,123.0,5.340427,0.3125
1.0,124.0,5.4959726,0.125
1.0,125.0,5.494231,0.1875
1.0,126.0,5.583352,0.0625
1.0,127.0,5.658223,0.0625
1.0,128.0,5.634567,0.0
