Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,2.7121422,0.0
1.0,1.0,2.4379795,0.375
1.0,2.0,2.3920088,0.3125
1.0,3.0,2.6194656,0.125
1.0,4.0,3.014132,0.3125
1.0,5.0,2.9676123,0.1875
1.0,6.0,1.8354491,0.5625
1.0,7.0,1.78211,0.375
1.0,8.0,1.9365518,0.1875
1.0,9.0,2.8727016,0.0625
1.0,10.0,2.057151,0.5625
1.0,11.0,2.4421725,0.25
1.0,12.0,2.9585836,0.3125
1.0,13.0,2.0056775,0.3125
1.0,14.0,2.146472,0.3125
1.0,15.0,2.7655005,0.125
1.0,16.0,1.4443681,0.5
1.0,17.0,1.8665376,0.25
1.0,18.0,2.142803,0.25
1.0,19.0,1.7294985,0.375
1.0,20.0,1.7743428,0.4375
1.0,21.0,1.5742694,0.375
1.0,22.0,2.0127876,0.1875
1.0,23.0,1.851164,0.375
1.0,24.0,1.3098491,0.5625
1.0,25.0,2.4640987,0.125
1.0,26.0,1.8635294,0.375
1.0,27.0,1.5041924,0.4375
1.0,28.0,1.4137528,0.375
1.0,29.0,2.2952733,0.375
1.0,30.0,1.9770838,0.4375
1.0,31.0,1.4969602,0.4375
1.0,32.0,1.9015127,0.375
1.0,33.0,1.8903573,0.1875
1.0,34.0,1.7549726,0.3125
1.0,35.0,1.6862521,0.5
1.0,36.0,1.3192383,0.5625
1.0,37.0,1.9223559,0.1875
1.0,38.0,1.4636079,0.5
1.0,39.0,1.4837751,0.5
1.0,40.0,2.1509674,0.1875
1.0,41.0,1.6211126,0.4375
1.0,42.0,1.8238394,0.375
1.0,43.0,1.6542426,0.4375
1.0,44.0,1.8949378,0.1875
1.0,45.0,1.5791806,0.3125
1.0,46.0,1.603656,0.375
1.0,47.0,1.386034,0.4375
1.0,48.0,1.3043911,0.5
1.0,49.0,1.0361092,0.5625
1.0,50.0,1.4670248,0.625
1.0,51.0,1.4231167,0.5
1.0,52.0,1.208817,0.375
1.0,53.0,1.5051099,0.5625
1.0,54.0,0.95170367,0.6875
