Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,2.4913678,0.3125
1.0,1.0,2.7653763,0.0625
1.0,2.0,2.6260526,0.0625
1.0,3.0,2.752449,0.125
1.0,4.0,2.8802257,0.0
1.0,5.0,3.0741572,0.0
1.0,6.0,2.631941,0.1875
1.0,7.0,2.7861528,0.125
1.0,8.0,2.827919,0.0625
1.0,9.0,2.6869428,0.0625
1.0,10.0,2.853879,0.0
1.0,11.0,2.8062449,0.125
1.0,12.0,2.8310733,0.0
1.0,13.0,2.705623,0.0625
1.0,14.0,2.683957,0.0625
1.0,15.0,2.621243,0.0625
1.0,16.0,2.8147871,0.0625
1.0,17.0,2.6428213,0.0625
1.0,18.0,2.6824083,0.0
1.0,19.0,2.7952871,0.0
1.0,20.0,2.6515484,0.0
1.0,21.0,2.7041306,0.0
1.0,22.0,2.7235434,0.0625
1.0,23.0,2.8388727,0.0
1.0,24.0,2.8769212,0.0
1.0,25.0,2.660059,0.1875
1.0,26.0,2.799464,0.0
1.0,27.0,2.5815215,0.1875
1.0,28.0,2.9005756,0.0
1.0,29.0,2.698608,0.125
1.0,30.0,2.6406958,0.125
1.0,31.0,2.7048438,0.1875
1.0,32.0,2.6701937,0.0625
1.0,33.0,2.7603562,0.125
1.0,34.0,2.7674322,0.0
1.0,35.0,2.7014723,0.0
1.0,36.0,2.6866996,0.125
1.0,37.0,2.7383332,0.0
1.0,38.0,2.7974284,0.0
1.0,39.0,2.6092434,0.0
1.0,40.0,2.6698227,0.0625
1.0,41.0,2.835018,0.0
1.0,42.0,2.7297683,0.0625
1.0,43.0,2.5117981,0.1875
1.0,44.0,2.5769818,0.0625
1.0,45.0,2.628459,0.0625
1.0,46.0,2.6460834,0.0625
1.0,47.0,2.8321855,0.0
1.0,48.0,2.7173703,0.0
1.0,49.0,2.752987,0.0625
1.0,50.0,2.663958,0.0
1.0,51.0,2.6278036,0.125
1.0,52.0,2.717659,0.0625
1.0,53.0,2.7194486,0.0625
1.0,54.0,2.6155915,0.0625
1.0,55.0,2.7902656,0.0
1.0,56.0,2.7222366,0.125
1.0,57.0,2.7226539,0.125
1.0,58.0,2.688032,0.0
1.0,59.0,2.7286785,0.0
1.0,60.0,2.6861975,0.125
1.0,61.0,2.7536008,0.0
1.0,62.0,2.7024274,0.0625
1.0,63.0,2.6747026,0.1875
1.0,64.0,2.6461513,0.0625
1.0,65.0,2.5080454,0.25
1.0,66.0,2.6093743,0.125
1.0,67.0,2.5553126,0.3125
1.0,68.0,2.6871529,0.125
1.0,69.0,2.7602289,0.0
1.0,70.0,2.7207215,0.125
1.0,71.0,2.68048,0.0625
1.0,72.0,2.6525927,0.0625
1.0,73.0,2.5715833,0.0625
1.0,74.0,2.6542485,0.0625
1.0,75.0,2.7127218,0.0
1.0,76.0,2.7798958,0.125
1.0,77.0,2.6926076,0.125
1.0,78.0,2.6629653,0.125
1.0,79.0,2.712678,0.0625
1.0,80.0,2.6945388,0.0
1.0,81.0,2.657625,0.1875
1.0,82.0,2.5826695,0.125
1.0,83.0,2.7422397,0.125
1.0,84.0,2.5419285,0.125
1.0,85.0,2.6226087,0.125
1.0,86.0,2.70335,0.125
1.0,87.0,2.7964694,0.125
1.0,88.0,2.7192,0.125
1.0,89.0,2.6349118,0.125
1.0,90.0,2.5837252,0.0625
1.0,91.0,2.6326866,0.125
1.0,92.0,2.629859,0.1875
1.0,93.0,2.7474017,0.125
1.0,94.0,2.6533527,0.0625
1.0,95.0,2.4937186,0.1875
1.0,96.0,2.8188083,0.0625
1.0,97.0,2.6869884,0.125
1.0,98.0,2.6131492,0.125
1.0,99.0,2.5173624,0.25
1.0,100.0,2.7374601,0.0
1.0,101.0,2.6560512,0.125
1.0,102.0,2.729636,0.0625
1.0,103.0,2.607541,0.0625
1.0,104.0,2.6497777,0.0625
1.0,105.0,2.71852,0.0625
1.0,106.0,2.82816,0.0625
1.0,107.0,2.599722,0.0
1.0,108.0,2.8139954,0.0
1.0,109.0,2.6050828,0.0625
1.0,110.0,2.5710762,0.0625
1.0,111.0,2.7740927,0.0
1.0,112.0,2.6212547,0.125
1.0,113.0,2.6317434,0.0625
1.0,114.0,2.73298,0.0625
1.0,115.0,2.6634078,0.125
1.0,116.0,2.6173706,0.0625
1.0,117.0,2.6057348,0.125
1.0,118.0,2.7334476,0.0625
1.0,119.0,2.4736197,0.1875
1.0,120.0,2.6066375,0.125
1.0,121.0,2.6101203,0.125
1.0,122.0,2.59475,0.1875
1.0,123.0,2.5510404,0.125
1.0,124.0,2.601207,0.125
1.0,125.0,2.660922,0.0625
1.0,126.0,2.6250317,0.0625
1.0,127.0,2.7035,0.125
1.0,128.0,2.6194434,0.125
1.0,129.0,2.6473503,0.1875
1.0,130.0,2.6764922,0.0625
1.0,131.0,2.7014382,0.0625
1.0,132.0,2.6474938,0.0625
1.0,133.0,2.5841036,0.125
1.0,134.0,2.6998367,0.0625
1.0,135.0,2.7034302,0.0
1.0,136.0,2.5528772,0.125
1.0,137.0,2.5316446,0.0625
1.0,138.0,2.5841556,0.125
1.0,139.0,2.5943809,0.0
1.0,140.0,2.74225,0.0625
1.0,141.0,2.561791,0.125
1.0,142.0,2.7187517,0.1875
1.0,143.0,2.6205118,0.125
1.0,144.0,2.683011,0.125
1.0,145.0,2.621423,0.1875
1.0,146.0,2.6208835,0.125
1.0,147.0,2.6652179,0.1875
1.0,148.0,2.7314086,0.0625
1.0,149.0,2.5818214,0.1875
1.0,150.0,2.5694692,0.25
1.0,151.0,2.6354563,0.125
1.0,152.0,2.7216966,0.0
1.0,153.0,2.7007723,0.125
1.0,154.0,2.7134728,0.0
1.0,155.0,2.6255116,0.0625
1.0,156.0,2.6550655,0.0625
1.0,157.0,2.5810606,0.0625
1.0,158.0,2.5957386,0.125
1.0,159.0,2.509804,0.1875
1.0,160.0,2.682414,0.0625
1.0,161.0,2.522195,0.0625
1.0,162.0,2.7176216,0.0
1.0,163.0,2.5969076,0.0625
1.0,164.0,2.61405,0.0
1.0,165.0,2.6112914,0.0
1.0,166.0,2.6119208,0.0625
1.0,167.0,2.7718997,0.0
1.0,168.0,2.7133029,0.0625
1.0,169.0,2.5197005,0.1875
1.0,170.0,2.5197315,0.125
1.0,171.0,2.6040978,0.125
1.0,172.0,2.5667562,0.1875
1.0,173.0,2.739026,0.125
1.0,174.0,2.748112,0.0625
1.0,175.0,2.6156003,0.0625
1.0,176.0,2.5822613,0.0625
1.0,177.0,2.492025,0.0625
1.0,178.0,2.7860243,0.0
1.0,179.0,2.6115596,0.125
1.0,180.0,2.5845082,0.125
1.0,181.0,2.5593455,0.0625
1.0,182.0,2.5318956,0.125
