Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,6.9102497,0.0
1.0,1.0,6.818499,0.0
1.0,2.0,6.655005,0.0
1.0,3.0,6.5593524,0.125
1.0,4.0,6.3947635,0.125
1.0,5.0,6.204349,0.125
1.0,6.0,6.1217346,0.125
1.0,7.0,5.7727814,0.125
1.0,8.0,5.7916374,0.1875
1.0,9.0,5.670361,0.0625
1.0,10.0,5.757194,0.0
1.0,11.0,5.4458365,0.125
1.0,12.0,5.305061,0.125
1.0,13.0,5.090583,0.25
1.0,14.0,5.2382236,0.0625
1.0,15.0,4.994235,0.0625
1.0,16.0,4.894026,0.0
1.0,17.0,4.843621,0.125
1.0,18.0,4.6059785,0.0625
1.0,19.0,4.728157,0.125
1.0,20.0,4.313677,0.3125
1.0,21.0,4.2314253,0.125
1.0,22.0,4.4682345,0.1875
1.0,23.0,4.1843157,0.125
1.0,24.0,4.021372,0.0625
1.0,25.0,3.856577,0.0
1.0,26.0,3.917477,0.1875
1.0,27.0,3.8018174,0.1875
1.0,28.0,3.4239223,0.375
1.0,29.0,3.2392786,0.4375
1.0,30.0,3.4924223,0.25
1.0,31.0,3.3461773,0.3125
1.0,32.0,3.022743,0.5625
1.0,33.0,3.3377073,0.125
1.0,34.0,3.1296513,0.0625
1.0,35.0,3.1589932,0.375
1.0,36.0,2.7541692,0.625
1.0,37.0,2.8685994,0.375
1.0,38.0,2.7253988,0.5625
1.0,39.0,2.870614,0.375
1.0,40.0,2.6436155,0.25
1.0,41.0,2.6722267,0.5
1.0,42.0,2.5971448,0.625
1.0,43.0,2.4589727,0.5
1.0,44.0,2.2147057,0.4375
1.0,45.0,2.1113133,0.625
1.0,46.0,2.5212216,0.25
1.0,47.0,2.7515278,0.1875
1.0,48.0,2.3279955,0.3125
1.0,49.0,1.9707566,0.625
1.0,50.0,1.9515738,0.6875
1.0,51.0,2.287999,0.3125
1.0,52.0,2.5105839,0.1875
1.0,53.0,2.42878,0.3125
1.0,54.0,2.1220632,0.625
1.0,55.0,2.102789,0.5
1.0,56.0,2.2035735,0.375
1.0,57.0,1.8350033,0.6875
1.0,58.0,2.14016,0.625
1.0,59.0,2.1695452,0.4375
1.0,60.0,1.7995576,0.6875
1.0,61.0,1.8442848,0.375
1.0,62.0,1.6672119,0.6875
1.0,63.0,1.8665326,0.625
1.0,64.0,1.6718426,0.625
1.0,65.0,1.7779443,0.5
1.0,66.0,1.6317412,0.5
1.0,67.0,1.8177278,0.5625
1.0,68.0,1.8176129,0.5
1.0,69.0,1.7631953,0.375
1.0,70.0,1.7856308,0.625
1.0,71.0,1.5220736,0.625
1.0,72.0,1.7102156,0.5
1.0,73.0,1.9785074,0.1875
1.0,74.0,1.6447614,0.5
1.0,75.0,1.5099443,0.5
1.0,76.0,1.5970463,0.625
1.0,77.0,1.6754403,0.5
1.0,78.0,1.6999676,0.3125
1.0,79.0,1.5583706,0.625
1.0,80.0,1.6436322,0.5
1.0,81.0,1.6317234,0.5
1.0,82.0,1.5475738,0.4375
1.0,83.0,1.4050592,0.8125
1.0,84.0,1.2541306,0.75
1.0,85.0,1.561202,0.625
1.0,86.0,1.7280724,0.3125
1.0,87.0,1.387911,0.75
1.0,88.0,1.7422165,0.4375
1.0,89.0,1.5881461,0.5
1.0,90.0,1.4467566,0.6875
1.0,91.0,1.4426584,0.5625
1.0,92.0,1.9523373,0.5625
1.0,93.0,1.6019138,0.4375
1.0,94.0,1.0728858,0.875
1.0,95.0,1.387851,0.5
1.0,96.0,1.4478829,0.5625
1.0,97.0,1.4744714,0.5
1.0,98.0,1.3294495,0.5625
1.0,99.0,1.5937079,0.4375
1.0,100.0,1.5657686,0.5
1.0,101.0,1.8549516,0.4375
1.0,102.0,1.3999635,0.6875
1.0,103.0,1.4754701,0.5
1.0,104.0,0.949923,0.9375
1.0,105.0,1.3908324,0.375
1.0,106.0,1.1881654,0.625
1.0,107.0,1.3707929,0.5
1.0,108.0,1.1997417,0.5625
1.0,109.0,1.3819067,0.5
1.0,110.0,1.1957699,0.6875
1.0,111.0,1.4941658,0.5
1.0,112.0,1.4687493,0.5
1.0,113.0,1.2142743,0.625
1.0,114.0,1.393141,0.375
1.0,115.0,1.169553,0.625
1.0,116.0,1.5535312,0.1875
1.0,117.0,1.293886,0.5
1.0,118.0,1.4509977,0.5625
1.0,119.0,1.2961106,0.625
1.0,120.0,1.3829348,0.625
1.0,121.0,1.0207387,0.8125
1.0,122.0,1.4623772,0.6875
1.0,123.0,1.2267444,0.5
1.0,124.0,1.2031838,0.6875
1.0,125.0,1.3743353,0.5625
1.0,126.0,0.94855523,0.9375
1.0,127.0,1.6240575,0.4375
1.0,128.0,0.94567007,0.6875
1.0,129.0,1.0658212,0.625
1.0,130.0,1.239912,0.4375
1.0,131.0,1.4932648,0.3125
1.0,132.0,0.97904664,0.6875
1.0,133.0,1.2767369,0.4375
1.0,134.0,1.035675,0.8125
1.0,135.0,1.3052961,0.5625
1.0,136.0,1.1322172,0.625
1.0,137.0,1.2757982,0.5625
1.0,138.0,1.6697176,0.375
1.0,139.0,1.0931243,0.5625
1.0,140.0,1.1335344,0.6875
1.0,141.0,1.4962848,0.5
1.0,142.0,1.0712312,0.625
1.0,143.0,1.1826595,0.5625
1.0,144.0,0.91582257,0.8125
1.0,145.0,1.36793,0.5
1.0,146.0,1.3788602,0.5625
1.0,147.0,1.2296884,0.5
1.0,148.0,1.1985891,0.625
1.0,149.0,1.1140542,0.5625
1.0,150.0,1.1398033,0.4375
2.0,151.0,1.5642279,0.375
2.0,152.0,1.2456689,0.5625
2.0,153.0,0.8696422,0.6875
2.0,154.0,1.0905836,0.5625
2.0,155.0,1.2129472,0.5
2.0,156.0,0.9669887,0.6875
2.0,157.0,0.7528637,0.875
2.0,158.0,1.0343097,0.6875
2.0,159.0,0.780258,0.75
2.0,160.0,0.88090336,0.8125
2.0,161.0,0.9190573,0.8125
2.0,162.0,1.3210906,0.25
2.0,163.0,1.287958,0.6875
2.0,164.0,1.0114906,0.8125
2.0,165.0,1.2643592,0.5625
2.0,166.0,0.9455016,0.6875
2.0,167.0,1.1390252,0.625
2.0,168.0,0.88479614,0.6875
2.0,169.0,1.6282367,0.5
2.0,170.0,1.129994,0.5625
2.0,171.0,1.0722572,0.625
2.0,172.0,1.2417651,0.5
2.0,173.0,1.2424046,0.5
2.0,174.0,1.3450849,0.5625
2.0,175.0,0.78582835,0.75
2.0,176.0,0.9337484,0.6875
2.0,177.0,0.987274,0.8125
2.0,178.0,0.96297616,0.6875
2.0,179.0,0.9928446,0.75
2.0,180.0,0.76824677,0.75
2.0,181.0,0.99536663,0.625
2.0,182.0,1.1839955,0.5625
2.0,183.0,1.0766718,0.625
2.0,184.0,0.9938718,0.75
2.0,185.0,0.9021789,0.8125
2.0,186.0,0.95607084,0.625
2.0,187.0,0.8947515,0.75
2.0,188.0,0.8449158,0.8125
2.0,189.0,1.1673224,0.5
2.0,190.0,0.9347229,0.6875
2.0,191.0,0.88700396,0.875
2.0,192.0,1.1528196,0.75
2.0,193.0,1.371118,0.5
2.0,194.0,0.9951715,0.75
2.0,195.0,1.3996173,0.5625
2.0,196.0,1.195866,0.5625
2.0,197.0,0.9245807,0.625
2.0,198.0,0.8689501,0.6875
2.0,199.0,0.8219565,0.75
2.0,200.0,1.1557939,0.625
2.0,201.0,1.0267459,0.6875
2.0,202.0,0.82487804,0.8125
2.0,203.0,0.7113332,0.8125
2.0,204.0,0.8649226,0.625
2.0,205.0,0.8734076,0.75
2.0,206.0,1.019784,0.875
2.0,207.0,0.91838443,0.75
2.0,208.0,1.2615538,0.5
2.0,209.0,0.85456115,0.75
2.0,210.0,1.0029185,0.625
2.0,211.0,1.1224127,0.6875
2.0,212.0,1.319807,0.4375
2.0,213.0,0.872224,0.6875
2.0,214.0,0.93795323,0.625
2.0,215.0,0.8641696,0.6875
2.0,216.0,0.7308463,0.75
2.0,217.0,0.6300382,0.8125
2.0,218.0,0.8113591,0.625
2.0,219.0,0.9047551,0.625
2.0,220.0,0.8437607,0.6875
2.0,221.0,0.94521,0.6875
2.0,222.0,0.80782586,0.8125
2.0,223.0,0.82722974,0.5625
2.0,224.0,0.6211058,0.875
2.0,225.0,0.9190657,0.6875
2.0,226.0,1.023928,0.6875
2.0,227.0,0.69346267,0.75
2.0,228.0,1.4373076,0.5
2.0,229.0,0.8588058,0.75
2.0,230.0,0.87901783,0.6875
2.0,231.0,0.8782989,0.625
2.0,232.0,0.6383732,0.75
2.0,233.0,0.53075993,0.9375
2.0,234.0,1.1768012,0.5
2.0,235.0,1.1959662,0.5625
2.0,236.0,0.9895441,0.75
2.0,237.0,1.0961931,0.75
2.0,238.0,1.1033186,0.5625
2.0,239.0,0.7864548,0.8125
2.0,240.0,1.2042198,0.5
2.0,241.0,0.9695297,0.75
2.0,242.0,0.694215,0.75
2.0,243.0,0.9657483,0.5625
2.0,244.0,0.71634626,0.8125
2.0,245.0,0.95733756,0.5625
2.0,246.0,0.8925586,0.75
2.0,247.0,0.70452344,0.9375
2.0,248.0,1.0499209,0.6875
2.0,249.0,1.2264068,0.3125
2.0,250.0,1.1773999,0.4375
2.0,251.0,0.67490244,0.8125
2.0,252.0,0.65632236,0.6875
2.0,253.0,0.9573462,0.625
2.0,254.0,0.9983177,0.625
2.0,255.0,1.3540499,0.5
2.0,256.0,0.8674028,0.75
2.0,257.0,1.0664771,0.5
2.0,258.0,1.0063674,0.5625
2.0,259.0,1.1058043,0.4375
2.0,260.0,0.95365065,0.6875
2.0,261.0,0.7895649,0.6875
2.0,262.0,1.1295961,0.5
2.0,263.0,1.3267478,0.4375
2.0,264.0,0.7092368,0.8125
2.0,265.0,0.69264233,0.75
2.0,266.0,1.1247863,0.625
