Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,6.8269343,0.0
1.0,1.0,5.6662197,0.3125
1.0,2.0,4.696548,0.3125
1.0,3.0,3.923371,0.3125
1.0,4.0,2.8474114,0.4375
1.0,5.0,2.7151954,0.375
1.0,6.0,2.076815,0.3125
1.0,7.0,1.5774478,0.3125
1.0,8.0,1.5671841,0.5
1.0,9.0,1.7599033,0.375
1.0,10.0,1.8149085,0.5625
1.0,11.0,1.6909081,0.25
1.0,12.0,1.7184615,0.375
1.0,13.0,1.1732213,0.5
1.0,14.0,1.449617,0.375
1.0,15.0,1.0407456,0.625
1.0,16.0,1.0672574,0.6875
1.0,17.0,0.95396197,0.5625
1.0,18.0,1.2256321,0.4375
1.0,19.0,1.1698276,0.5
1.0,20.0,1.4141622,0.4375
1.0,21.0,1.3742027,0.5
1.0,22.0,1.3549052,0.5
1.0,23.0,1.537647,0.4375
1.0,24.0,1.0626118,0.5625
1.0,25.0,1.2041883,0.75
1.0,26.0,1.5874118,0.5
1.0,27.0,1.2401104,0.5625
1.0,28.0,1.4868417,0.375
1.0,29.0,1.231474,0.5
1.0,30.0,1.1955845,0.5
1.0,31.0,2.0824387,0.375
1.0,32.0,1.1346742,0.625
1.0,33.0,0.9190578,0.625
1.0,34.0,0.8846965,0.6875
1.0,35.0,1.7247505,0.375
1.0,36.0,1.730711,0.375
1.0,37.0,0.7859037,0.8125
1.0,38.0,0.9495657,0.4375
1.0,39.0,1.422571,0.4375
1.0,40.0,1.2756398,0.375
1.0,41.0,1.3094969,0.4375
1.0,42.0,1.2574208,0.625
1.0,43.0,1.7942266,0.3125
1.0,44.0,0.8692925,0.625
1.0,45.0,1.5423664,0.5625
1.0,46.0,2.3808978,0.1875
1.0,47.0,1.1830924,0.5
1.0,48.0,1.3631514,0.3125
1.0,49.0,1.0742133,0.5625
1.0,50.0,1.1364906,0.5625
1.0,51.0,1.1141148,0.5
1.0,52.0,1.2627465,0.5625
1.0,53.0,1.2632464,0.5625
1.0,54.0,1.0419828,0.4375
1.0,55.0,1.3220973,0.375
1.0,56.0,1.0803162,0.4375
1.0,57.0,0.71877486,0.75
1.0,58.0,1.0642083,0.375
1.0,59.0,1.4046569,0.5
1.0,60.0,1.0550721,0.5
1.0,61.0,0.9685346,0.5625
1.0,62.0,0.95605445,0.6875
1.0,63.0,1.0793068,0.625
1.0,64.0,0.76686287,0.75
1.0,65.0,1.5864584,0.375
1.0,66.0,0.7432041,0.625
1.0,67.0,0.9633842,0.5
1.0,68.0,0.75993574,0.8125
1.0,69.0,0.66132927,0.875
1.0,70.0,0.77289057,0.75
1.0,71.0,0.77795047,0.75
1.0,72.0,1.5218647,0.375
1.0,73.0,0.80849123,0.625
1.0,74.0,1.2136205,0.6875
1.0,75.0,1.1918895,0.6875
1.0,76.0,0.68686783,0.8125
1.0,77.0,1.2848414,0.625
1.0,78.0,1.1296481,0.625
1.0,79.0,0.6821555,0.75
1.0,80.0,0.86958563,0.6875
1.0,81.0,0.81159365,0.875
1.0,82.0,1.6719888,0.625
1.0,83.0,0.85678285,0.8125
1.0,84.0,0.5885387,0.8125
1.0,85.0,1.1887547,0.5625
1.0,86.0,0.6010107,0.6875
1.0,87.0,0.688323,0.6875
1.0,88.0,1.0719115,0.625
1.0,89.0,1.0330529,0.6875
1.0,90.0,0.938513,0.6875
1.0,91.0,0.61344755,0.8125
1.0,92.0,0.7932651,0.75
1.0,93.0,1.013704,0.625
1.0,94.0,0.6905424,0.75
1.0,95.0,1.0982784,0.75
1.0,96.0,0.9364042,0.6875
1.0,97.0,0.5823328,0.75
1.0,98.0,0.61791664,0.75
1.0,99.0,0.5757238,0.875
1.0,100.0,0.86217403,0.625
1.0,101.0,1.4238809,0.625
1.0,102.0,0.42759824,0.875
1.0,103.0,0.55083495,0.75
1.0,104.0,1.0188848,0.5
1.0,105.0,0.9457651,0.5
1.0,106.0,0.90421814,0.5625
1.0,107.0,1.3085127,0.5625
1.0,108.0,0.8174222,0.75
1.0,109.0,0.9384808,0.625
1.0,110.0,0.6003659,0.75
1.0,111.0,0.8059734,0.625
1.0,112.0,0.7864894,0.625
1.0,113.0,0.9655401,0.625
1.0,114.0,0.7407767,0.8125
1.0,115.0,1.4840125,0.4375
1.0,116.0,0.6908781,0.6875
1.0,117.0,0.675139,0.625
1.0,118.0,0.44280452,0.8125
1.0,119.0,0.9263855,0.625
1.0,120.0,1.0248126,0.6875
1.0,121.0,1.1024784,0.625
1.0,122.0,0.8722098,0.6875
1.0,123.0,1.0342562,0.4375
1.0,124.0,0.53378487,0.75
1.0,125.0,0.7239564,0.6875
1.0,126.0,0.90329194,0.6875
1.0,127.0,0.5511293,0.8125
1.0,128.0,1.0574316,0.5
1.0,129.0,1.1195433,0.625
1.0,130.0,0.72251415,0.6875
1.0,131.0,0.79789245,0.6875
1.0,132.0,0.34547016,1.0
1.0,133.0,0.59684885,0.8125
1.0,134.0,0.67350864,0.75
1.0,135.0,1.2155284,0.5625
1.0,136.0,1.0963852,0.5625
1.0,137.0,0.9332414,0.625
1.0,138.0,0.7263862,0.6875
1.0,139.0,0.8864844,0.5
1.0,140.0,0.8983854,0.625
1.0,141.0,1.0802585,0.5625
1.0,142.0,0.90603924,0.625
1.0,143.0,0.59564465,0.6875
1.0,144.0,0.9987058,0.625
1.0,145.0,1.0611478,0.5625
1.0,146.0,0.9600357,0.5
1.0,147.0,0.56606495,0.625
1.0,148.0,1.1059943,0.5625
1.0,149.0,1.1634979,0.4375
1.0,150.0,0.7538744,0.625
2.0,151.0,0.53417456,0.75
2.0,152.0,1.1921524,0.5625
2.0,153.0,1.0635893,0.625
2.0,154.0,0.93018734,0.625
2.0,155.0,0.19657518,1.0
2.0,156.0,1.0477918,0.5
2.0,157.0,1.2410569,0.625
2.0,158.0,1.1063926,0.5625
2.0,159.0,0.637377,0.6875
2.0,160.0,0.49662647,0.75
2.0,161.0,0.7406691,0.6875
2.0,162.0,0.74509114,0.75
2.0,163.0,1.0477297,0.5625
2.0,164.0,0.9003306,0.5625
2.0,165.0,0.8244675,0.75
2.0,166.0,0.89851743,0.6875
2.0,167.0,0.569596,0.8125
2.0,168.0,1.0550387,0.5625
2.0,169.0,0.77866113,0.6875
2.0,170.0,0.8199741,0.625
2.0,171.0,0.45879376,0.8125
2.0,172.0,0.78183657,0.625
2.0,173.0,0.8420038,0.625
2.0,174.0,0.7731124,0.625
2.0,175.0,0.7492178,0.6875
2.0,176.0,0.39613488,0.8125
2.0,177.0,0.72362673,0.875
2.0,178.0,0.35932314,0.9375
2.0,179.0,0.6959989,0.875
2.0,180.0,0.6554212,0.6875
2.0,181.0,0.74626714,0.625
2.0,182.0,0.6605663,0.75
2.0,183.0,0.26684636,1.0
2.0,184.0,0.6696139,0.6875
2.0,185.0,0.7022433,0.75
2.0,186.0,0.7484964,0.5625
2.0,187.0,1.0700868,0.5
2.0,188.0,0.68696856,0.6875
2.0,189.0,0.62086564,0.6875
2.0,190.0,0.5559728,0.6875
2.0,191.0,1.0727311,0.5
2.0,192.0,0.84970784,0.4375
2.0,193.0,0.9266442,0.5625
2.0,194.0,0.7501868,0.75
2.0,195.0,1.1351994,0.625
2.0,196.0,0.9550741,0.625
2.0,197.0,0.5121316,0.75
2.0,198.0,0.83274484,0.625
2.0,199.0,0.91029555,0.6875
2.0,200.0,0.9435332,0.625
2.0,201.0,0.91175663,0.625
2.0,202.0,1.052868,0.5625
2.0,203.0,1.246872,0.5625
2.0,204.0,0.7874592,0.6875
2.0,205.0,0.47115403,0.8125
2.0,206.0,1.3521062,0.5
2.0,207.0,0.49608994,0.75
2.0,208.0,0.54717416,0.75
2.0,209.0,0.69405806,0.8125
2.0,210.0,1.3110696,0.375
2.0,211.0,0.8681009,0.8125
2.0,212.0,0.8665799,0.6875
2.0,213.0,0.7145926,0.8125
2.0,214.0,0.81767976,0.625
2.0,215.0,1.0114577,0.625
2.0,216.0,0.34813693,0.9375
2.0,217.0,0.7917549,0.75
2.0,218.0,0.73059267,0.75
2.0,219.0,0.77689,0.6875
2.0,220.0,1.0744722,0.6875
2.0,221.0,1.3070263,0.4375
2.0,222.0,0.6216826,0.8125
2.0,223.0,0.57990015,0.8125
2.0,224.0,0.7998439,0.625
2.0,225.0,0.8802077,0.625
2.0,226.0,1.4454478,0.625
2.0,227.0,0.5721789,0.6875
2.0,228.0,1.2719617,0.4375
2.0,229.0,0.4602977,0.875
2.0,230.0,0.44937518,0.8125
2.0,231.0,0.70590526,0.625
2.0,232.0,0.5919663,0.8125
2.0,233.0,0.95702064,0.625
2.0,234.0,1.0707182,0.6875
2.0,235.0,1.2414377,0.5625
2.0,236.0,1.2927275,0.25
2.0,237.0,1.1496637,0.4375
2.0,238.0,0.60060775,0.8125
2.0,239.0,0.46789983,0.875
2.0,240.0,0.9038451,0.625
2.0,241.0,0.69555295,0.75
2.0,242.0,0.8159674,0.6875
2.0,243.0,0.70418787,0.6875
2.0,244.0,0.84230876,0.625
2.0,245.0,1.7452097,0.625
2.0,246.0,0.5254076,0.75
2.0,247.0,0.4373092,0.875
2.0,248.0,0.6672618,0.75
2.0,249.0,0.6545814,0.6875
2.0,250.0,0.683808,0.625
2.0,251.0,0.63404316,0.75
2.0,252.0,0.68201894,0.6875
2.0,253.0,0.8022012,0.6875
2.0,254.0,0.5331906,0.6875
2.0,255.0,0.6846475,0.625
2.0,256.0,0.72309947,0.8125
2.0,257.0,0.42821577,1.0
2.0,258.0,0.84798133,0.6875
2.0,259.0,0.40531027,0.8125
