Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,2.5297952,0.125
1.0,1.0,2.4150229,0.0625
1.0,2.0,2.4221914,0.1875
1.0,3.0,2.0362713,0.4375
1.0,4.0,1.7870548,0.3125
1.0,5.0,2.1118484,0.1875
1.0,6.0,2.0153193,0.3125
1.0,7.0,1.8536177,0.5
1.0,8.0,2.1183817,0.25
1.0,9.0,1.7018954,0.3125
1.0,10.0,1.5627189,0.375
1.0,11.0,1.8986857,0.1875
1.0,12.0,1.5295905,0.3125
1.0,13.0,1.3703929,0.5625
1.0,14.0,1.3457856,0.5
1.0,15.0,1.0416654,0.6875
1.0,16.0,1.3032298,0.625
1.0,17.0,1.4429486,0.4375
1.0,18.0,1.1559098,0.5
1.0,19.0,1.2400206,0.5625
1.0,20.0,1.5149832,0.3125
1.0,21.0,1.5334475,0.25
1.0,22.0,1.2482494,0.5
1.0,23.0,1.3546857,0.4375
1.0,24.0,1.3087442,0.5625
1.0,25.0,1.072617,0.625
1.0,26.0,1.7580574,0.5
1.0,27.0,1.276794,0.625
1.0,28.0,1.4524381,0.5
1.0,29.0,1.3092746,0.5625
1.0,30.0,1.8769313,0.4375
1.0,31.0,0.9650541,0.75
1.0,32.0,1.5416564,0.3125
1.0,33.0,0.80071604,0.875
1.0,34.0,1.2334092,0.625
1.0,35.0,1.2288077,0.6875
1.0,36.0,2.0234692,0.3125
1.0,37.0,1.0867445,0.625
1.0,38.0,1.5603629,0.3125
1.0,39.0,1.7381741,0.4375
1.0,40.0,1.2380186,0.5
1.0,41.0,1.5608863,0.375
1.0,42.0,0.9351315,0.5
1.0,43.0,1.1882048,0.4375
1.0,44.0,2.070436,0.375
1.0,45.0,1.1819636,0.5
1.0,46.0,1.0275166,0.5625
1.0,47.0,1.1696526,0.4375
1.0,48.0,1.0018578,0.625
1.0,49.0,1.5947335,0.3125
1.0,50.0,1.5653709,0.25
1.0,51.0,1.198464,0.4375
1.0,52.0,1.1636057,0.5625
1.0,53.0,0.8508146,0.625
1.0,54.0,1.1680571,0.5625
1.0,55.0,1.0027243,0.625
1.0,56.0,1.3524408,0.5
1.0,57.0,1.012651,0.6875
1.0,58.0,0.8339363,0.6875
1.0,59.0,0.8536408,0.625
1.0,60.0,0.79939,0.625
1.0,61.0,1.1978023,0.625
1.0,62.0,1.1835164,0.5625
1.0,63.0,0.9647358,0.5625
1.0,64.0,1.2277575,0.5
1.0,65.0,1.0139731,0.625
1.0,66.0,1.0322797,0.5
1.0,67.0,0.8659267,0.625
1.0,68.0,0.82629025,0.6875
1.0,69.0,1.2125852,0.75
1.0,70.0,0.7740745,0.6875
1.0,71.0,1.0124199,0.625
1.0,72.0,0.8119267,0.75
1.0,73.0,1.4500884,0.4375
1.0,74.0,0.9651346,0.625
1.0,75.0,0.95690084,0.625
1.0,76.0,0.803097,0.625
1.0,77.0,1.1671758,0.5625
1.0,78.0,1.890481,0.5625
1.0,79.0,0.8490732,0.625
1.0,80.0,1.0723255,0.5
1.0,81.0,1.3826605,0.4375
