Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,6.825101,0.0
1.0,1.0,6.827254,0.0
1.0,2.0,6.763422,0.0
1.0,3.0,6.7542243,0.0
1.0,4.0,6.675842,0.0
1.0,5.0,6.6369643,0.0
1.0,6.0,6.733325,0.0
1.0,7.0,6.798675,0.0
1.0,8.0,6.69189,0.0
1.0,9.0,6.73751,0.0
1.0,10.0,6.659122,0.0
1.0,11.0,6.668925,0.0625
1.0,12.0,6.6004186,0.0625
1.0,13.0,6.592607,0.0625
1.0,14.0,6.542165,0.0
1.0,15.0,6.63262,0.0625
1.0,16.0,6.4333773,0.1875
1.0,17.0,6.514406,0.1875
1.0,18.0,6.4338703,0.1875
1.0,19.0,6.531005,0.0625
1.0,20.0,6.506141,0.0625
1.0,21.0,6.422321,0.0625
1.0,22.0,6.5395303,0.0625
1.0,23.0,6.5709543,0.0625
1.0,24.0,6.519302,0.0625
1.0,25.0,6.398255,0.0625
1.0,26.0,6.487141,0.125
1.0,27.0,6.4436603,0.0
1.0,28.0,6.364033,0.125
1.0,29.0,6.395742,0.0
1.0,30.0,6.3945866,0.125
1.0,31.0,6.337903,0.125
1.0,32.0,6.3054137,0.125
1.0,33.0,6.1904078,0.125
1.0,34.0,6.2927194,0.0625
1.0,35.0,6.2512193,0.125
1.0,36.0,6.2911563,0.0625
1.0,37.0,6.340117,0.125
1.0,38.0,6.3482556,0.0
1.0,39.0,6.4030266,0.125
1.0,40.0,6.2158804,0.25
1.0,41.0,6.1885037,0.1875
1.0,42.0,6.314379,0.0625
1.0,43.0,6.0009065,0.3125
1.0,44.0,6.247342,0.0625
1.0,45.0,6.240453,0.0
1.0,46.0,6.1539416,0.0625
1.0,47.0,6.084826,0.1875
1.0,48.0,6.080219,0.25
1.0,49.0,6.1941285,0.0625
1.0,50.0,6.162092,0.25
1.0,51.0,6.0038853,0.0625
1.0,52.0,5.9581356,0.1875
1.0,53.0,6.01436,0.3125
1.0,54.0,6.0876336,0.1875
1.0,55.0,6.0324836,0.25
1.0,56.0,6.1105194,0.125
1.0,57.0,6.0887733,0.1875
1.0,58.0,5.942258,0.25
1.0,59.0,5.8817577,0.25
1.0,60.0,5.988519,0.25
1.0,61.0,5.8302855,0.25
1.0,62.0,5.974847,0.1875
1.0,63.0,5.819763,0.25
1.0,64.0,5.8747983,0.1875
1.0,65.0,5.963683,0.1875
1.0,66.0,5.854788,0.1875
1.0,67.0,5.791587,0.1875
1.0,68.0,5.7860756,0.1875
1.0,69.0,5.735251,0.25
1.0,70.0,5.8707275,0.1875
1.0,71.0,5.7407093,0.4375
1.0,72.0,5.7683907,0.1875
1.0,73.0,5.5971756,0.4375
1.0,74.0,5.7701917,0.25
1.0,75.0,5.5433254,0.4375
1.0,76.0,5.8502016,0.0625
1.0,77.0,5.6592607,0.3125
1.0,78.0,5.716252,0.3125
1.0,79.0,5.656873,0.3125
1.0,80.0,5.562815,0.25
1.0,81.0,5.724543,0.125
1.0,82.0,5.679323,0.1875
1.0,83.0,5.630418,0.375
1.0,84.0,5.51972,0.1875
1.0,85.0,5.7579865,0.1875
1.0,86.0,5.781884,0.0625
1.0,87.0,5.4814363,0.375
1.0,88.0,5.455429,0.3125
1.0,89.0,5.6313834,0.3125
1.0,90.0,5.4354243,0.375
1.0,91.0,5.4450946,0.3125
1.0,92.0,5.5132184,0.3125
1.0,93.0,5.5700974,0.1875
1.0,94.0,5.4449434,0.25
1.0,95.0,5.4678707,0.25
1.0,96.0,5.389589,0.3125
1.0,97.0,5.4309435,0.25
1.0,98.0,5.5464077,0.125
1.0,99.0,5.5360584,0.125
1.0,100.0,5.385675,0.3125
1.0,101.0,5.3793907,0.375
1.0,102.0,5.3370404,0.375
1.0,103.0,5.3784447,0.375
1.0,104.0,5.292266,0.375
1.0,105.0,5.2399187,0.3125
1.0,106.0,5.2762065,0.375
1.0,107.0,5.2428627,0.25
1.0,108.0,5.258779,0.3125
1.0,109.0,5.360362,0.125
1.0,110.0,5.0271797,0.5625
1.0,111.0,5.2884226,0.1875
1.0,112.0,5.2040677,0.375
1.0,113.0,5.200808,0.4375
1.0,114.0,5.2407293,0.3125
1.0,115.0,5.1151876,0.4375
1.0,116.0,5.198946,0.3125
1.0,117.0,5.0820374,0.5
1.0,118.0,4.987945,0.375
1.0,119.0,5.251536,0.125
1.0,120.0,5.148219,0.3125
1.0,121.0,5.0807505,0.25
1.0,122.0,5.1299033,0.3125
1.0,123.0,4.8423257,0.5
1.0,124.0,5.0419445,0.4375
1.0,125.0,5.1396117,0.125
1.0,126.0,4.942917,0.4375
1.0,127.0,4.969193,0.1875
1.0,128.0,4.8213205,0.5
1.0,129.0,5.1239614,0.3125
1.0,130.0,5.0788927,0.25
1.0,131.0,4.844978,0.4375
1.0,132.0,5.049278,0.25
1.0,133.0,4.949509,0.3125
1.0,134.0,5.0333405,0.3125
1.0,135.0,4.921147,0.1875
1.0,136.0,4.911808,0.375
1.0,137.0,4.890314,0.4375
1.0,138.0,4.910542,0.3125
1.0,139.0,4.897555,0.125
1.0,140.0,4.840285,0.375
1.0,141.0,4.7648964,0.1875
1.0,142.0,4.928842,0.25
1.0,143.0,4.7150035,0.375
1.0,144.0,4.685024,0.375
1.0,145.0,4.6942253,0.375
1.0,146.0,4.7755613,0.375
1.0,147.0,4.747419,0.375
1.0,148.0,4.9571533,0.1875
1.0,149.0,4.8583107,0.125
1.0,150.0,4.556809,0.4375
2.0,151.0,4.6858435,0.3125
2.0,152.0,4.742196,0.4375
2.0,153.0,4.84107,0.125
2.0,154.0,4.6681085,0.375
2.0,155.0,4.687187,0.125
2.0,156.0,4.722646,0.375
2.0,157.0,4.7291713,0.125
2.0,158.0,4.7605357,0.25
2.0,159.0,4.455248,0.4375
2.0,160.0,4.6175203,0.375
2.0,161.0,4.422157,0.5
2.0,162.0,4.547709,0.375
2.0,163.0,4.565605,0.3125
2.0,164.0,4.599052,0.25
2.0,165.0,4.4920936,0.375
2.0,166.0,4.3609905,0.5
2.0,167.0,4.343742,0.4375
2.0,168.0,4.618205,0.0625
2.0,169.0,4.4715285,0.1875
2.0,170.0,4.345802,0.5
2.0,171.0,4.4997,0.375
2.0,172.0,4.1979046,0.5625
2.0,173.0,4.773954,0.0625
2.0,174.0,4.5229354,0.125
2.0,175.0,4.425836,0.3125
2.0,176.0,4.4538126,0.25
2.0,177.0,4.5438743,0.1875
2.0,178.0,4.5570073,0.125
2.0,179.0,4.378648,0.25
2.0,180.0,4.1355753,0.625
2.0,181.0,4.261242,0.5
2.0,182.0,4.3847327,0.125
2.0,183.0,4.274686,0.375
2.0,184.0,4.3088045,0.375
2.0,185.0,4.2711763,0.375
2.0,186.0,4.4002395,0.3125
2.0,187.0,4.4505935,0.1875
2.0,188.0,4.4712715,0.125
2.0,189.0,4.2886624,0.4375
2.0,190.0,4.0810313,0.5625
2.0,191.0,4.0486994,0.4375
2.0,192.0,4.1437926,0.375
2.0,193.0,4.2443304,0.25
2.0,194.0,4.186163,0.375
2.0,195.0,4.1549716,0.4375
2.0,196.0,4.240549,0.1875
2.0,197.0,3.8780146,0.75
2.0,198.0,4.1009927,0.3125
2.0,199.0,4.1618233,0.375
2.0,200.0,4.033828,0.4375
2.0,201.0,4.1564713,0.3125
2.0,202.0,3.978491,0.375
2.0,203.0,4.1115685,0.25
2.0,204.0,3.9551623,0.375
2.0,205.0,4.0883226,0.25
2.0,206.0,4.0836177,0.1875
2.0,207.0,3.8268285,0.5
2.0,208.0,4.121056,0.25
2.0,209.0,3.9936526,0.4375
2.0,210.0,3.9773684,0.375
2.0,211.0,3.9312353,0.4375
2.0,212.0,4.1613383,0.1875
2.0,213.0,3.9429195,0.3125
2.0,214.0,3.9607751,0.3125
2.0,215.0,4.1327267,0.1875
2.0,216.0,3.8613272,0.375
2.0,217.0,3.9592369,0.25
2.0,218.0,4.0658774,0.1875
2.0,219.0,3.8939066,0.3125
2.0,220.0,3.952459,0.25
2.0,221.0,3.8124075,0.3125
2.0,222.0,3.8945842,0.25
2.0,223.0,3.7807944,0.4375
2.0,224.0,3.8696728,0.375
2.0,225.0,3.6811695,0.5625
2.0,226.0,3.789617,0.5
2.0,227.0,3.7922502,0.375
2.0,228.0,4.053197,0.1875
2.0,229.0,3.8875725,0.1875
2.0,230.0,3.6657045,0.5
2.0,231.0,3.5829897,0.625
2.0,232.0,3.947985,0.25
2.0,233.0,3.802207,0.3125
2.0,234.0,3.7304654,0.4375
2.0,235.0,3.4510858,0.6875
2.0,236.0,3.6051042,0.4375
2.0,237.0,3.789069,0.375
2.0,238.0,3.6146111,0.4375
2.0,239.0,3.7044868,0.25
2.0,240.0,3.816545,0.125
2.0,241.0,3.6816716,0.3125
2.0,242.0,3.5076401,0.5
2.0,243.0,3.7565498,0.3125
2.0,244.0,3.563346,0.375
2.0,245.0,3.522418,0.5625
2.0,246.0,3.6128967,0.375
2.0,247.0,3.6627755,0.3125
2.0,248.0,3.7098258,0.1875
2.0,249.0,3.5762148,0.375
2.0,250.0,3.6345665,0.25
2.0,251.0,3.7255068,0.1875
2.0,252.0,3.7576666,0.25
2.0,253.0,3.4776182,0.375
2.0,254.0,3.5477579,0.3125
2.0,255.0,3.4350476,0.4375
2.0,256.0,3.624893,0.125
