Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,2.488438,0.0625
1.0,1.0,2.4933805,0.125
1.0,2.0,2.5184183,0.0625
1.0,3.0,2.5533426,0.0
1.0,4.0,2.5344677,0.1875
1.0,5.0,2.5919936,0.125
1.0,6.0,2.4323964,0.25
1.0,7.0,2.4683936,0.125
1.0,8.0,2.4886065,0.125
1.0,9.0,2.4815378,0.1875
1.0,10.0,2.480258,0.125
1.0,11.0,2.4602976,0.0625
1.0,12.0,2.4151776,0.25
1.0,13.0,2.4878352,0.0
1.0,14.0,2.5056539,0.0625
1.0,15.0,2.4793491,0.125
1.0,16.0,2.539762,0.0
1.0,17.0,2.44018,0.0625
1.0,18.0,2.480493,0.0625
1.0,19.0,2.3907368,0.25
1.0,20.0,2.467881,0.0625
1.0,21.0,2.463757,0.0625
1.0,22.0,2.5242019,0.0
1.0,23.0,2.4531515,0.125
1.0,24.0,2.428814,0.0625
1.0,25.0,2.45853,0.125
1.0,26.0,2.370404,0.1875
1.0,27.0,2.4939241,0.125
1.0,28.0,2.5407064,0.0
1.0,29.0,2.5047877,0.0625
1.0,30.0,2.351004,0.375
1.0,31.0,2.3869522,0.1875
1.0,32.0,2.381998,0.1875
1.0,33.0,2.492645,0.0
1.0,34.0,2.4253602,0.25
1.0,35.0,2.4705353,0.1875
1.0,36.0,2.4162447,0.0625
1.0,37.0,2.4410276,0.0625
1.0,38.0,2.5020733,0.0
1.0,39.0,2.4735067,0.25
1.0,40.0,2.3957784,0.1875
1.0,41.0,2.459414,0.125
1.0,42.0,2.4432633,0.1875
1.0,43.0,2.4705505,0.125
1.0,44.0,2.4056876,0.1875
1.0,45.0,2.4565015,0.125
1.0,46.0,2.3975334,0.0625
1.0,47.0,2.4109135,0.25
1.0,48.0,2.4097552,0.25
1.0,49.0,2.3371725,0.4375
1.0,50.0,2.4880903,0.0625
1.0,51.0,2.3791964,0.25
1.0,52.0,2.3875248,0.25
1.0,53.0,2.3515823,0.3125
1.0,54.0,2.3561754,0.25
1.0,55.0,2.43796,0.125
1.0,56.0,2.4150486,0.0
1.0,57.0,2.4588325,0.0625
1.0,58.0,2.4259737,0.1875
1.0,59.0,2.428321,0.125
1.0,60.0,2.3990629,0.1875
1.0,61.0,2.3954992,0.125
1.0,62.0,2.4058483,0.0625
1.0,63.0,2.395303,0.1875
1.0,64.0,2.3928273,0.125
1.0,65.0,2.2865272,0.4375
1.0,66.0,2.3947518,0.1875
1.0,67.0,2.4410765,0.1875
1.0,68.0,2.316817,0.3125
1.0,69.0,2.3511763,0.1875
1.0,70.0,2.3613067,0.3125
1.0,71.0,2.376332,0.1875
1.0,72.0,2.4511237,0.1875
1.0,73.0,2.3407822,0.25
1.0,74.0,2.3338842,0.1875
