Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,2.7906663,0.0
1.0,1.0,2.8142626,0.0625
1.0,2.0,2.6899505,0.0
1.0,3.0,2.8828917,0.0
1.0,4.0,2.775024,0.0
1.0,5.0,2.6902647,0.0625
1.0,6.0,2.7321942,0.125
1.0,7.0,2.6943855,0.0625
1.0,8.0,2.6472344,0.125
1.0,9.0,2.643874,0.0625
1.0,10.0,2.8098578,0.125
1.0,11.0,2.751227,0.125
1.0,12.0,2.7388997,0.0
1.0,13.0,2.7518713,0.125
1.0,14.0,2.698205,0.0
1.0,15.0,2.7299852,0.0625
1.0,16.0,2.7485814,0.0625
1.0,17.0,2.6113105,0.125
1.0,18.0,2.6042707,0.1875
1.0,19.0,2.6597476,0.125
1.0,20.0,2.6077836,0.0625
1.0,21.0,2.650242,0.0
1.0,22.0,2.6834705,0.25
1.0,23.0,2.8045442,0.0
1.0,24.0,2.7007189,0.125
1.0,25.0,2.6403103,0.125
1.0,26.0,2.5672848,0.125
1.0,27.0,2.5927162,0.25
1.0,28.0,2.6647527,0.1875
1.0,29.0,2.601133,0.25
1.0,30.0,2.6319447,0.0625
1.0,31.0,2.7022061,0.0
1.0,32.0,2.704986,0.0625
1.0,33.0,2.6338186,0.0625
1.0,34.0,2.509384,0.25
1.0,35.0,2.6611338,0.0625
1.0,36.0,2.5714471,0.3125
1.0,37.0,2.6583571,0.25
1.0,38.0,2.6359258,0.25
1.0,39.0,2.576528,0.1875
1.0,40.0,2.7540345,0.0625
1.0,41.0,2.5966659,0.0625
1.0,42.0,2.6307154,0.1875
1.0,43.0,2.5732133,0.3125
1.0,44.0,2.6693254,0.125
1.0,45.0,2.5855682,0.0
1.0,46.0,2.7217171,0.125
1.0,47.0,2.5633404,0.125
1.0,48.0,2.613823,0.0625
1.0,49.0,2.6452672,0.1875
1.0,50.0,2.5977547,0.125
1.0,51.0,2.5631897,0.25
1.0,52.0,2.5687845,0.1875
1.0,53.0,2.5105293,0.125
1.0,54.0,2.5530312,0.25
1.0,55.0,2.4713712,0.4375
1.0,56.0,2.5356686,0.25
1.0,57.0,2.5369494,0.1875
1.0,58.0,2.589707,0.125
1.0,59.0,2.4711542,0.3125
1.0,60.0,2.4690394,0.4375
1.0,61.0,2.5864758,0.0625
1.0,62.0,2.6147976,0.125
1.0,63.0,2.537234,0.1875
1.0,64.0,2.5758228,0.125
1.0,65.0,2.612094,0.25
1.0,66.0,2.5338027,0.375
1.0,67.0,2.5371401,0.1875
1.0,68.0,2.4997306,0.125
1.0,69.0,2.4796836,0.1875
1.0,70.0,2.5108678,0.0625
1.0,71.0,2.5068507,0.3125
1.0,72.0,2.5329514,0.3125
1.0,73.0,2.5024035,0.1875
1.0,74.0,2.4513693,0.3125
1.0,75.0,2.6262176,0.125
1.0,76.0,2.454022,0.3125
1.0,77.0,2.425931,0.375
1.0,78.0,2.5209253,0.25
1.0,79.0,2.5663273,0.125
1.0,80.0,2.5072365,0.375
1.0,81.0,2.4561782,0.3125
1.0,82.0,2.577165,0.125
1.0,83.0,2.5317438,0.3125
1.0,84.0,2.4476597,0.375
1.0,85.0,2.406328,0.4375
1.0,86.0,2.3766265,0.4375
1.0,87.0,2.334031,0.5625
1.0,88.0,2.4022362,0.375
1.0,89.0,2.4237423,0.25
1.0,90.0,2.4258978,0.375
1.0,91.0,2.3780153,0.3125
1.0,92.0,2.356389,0.4375
1.0,93.0,2.4096248,0.375
1.0,94.0,2.4598694,0.125
1.0,95.0,2.437823,0.1875
1.0,96.0,2.3206153,0.375
1.0,97.0,2.3127499,0.25
1.0,98.0,2.445289,0.25
1.0,99.0,2.4284291,0.4375
1.0,100.0,2.3940854,0.1875
1.0,101.0,2.4639604,0.3125
1.0,102.0,2.4020536,0.1875
1.0,103.0,2.403867,0.3125
1.0,104.0,2.330779,0.375
1.0,105.0,2.4250786,0.1875
1.0,106.0,2.4571948,0.125
1.0,107.0,2.3589952,0.375
1.0,108.0,2.2961466,0.375
1.0,109.0,2.4080374,0.4375
1.0,110.0,2.3267996,0.5
1.0,111.0,2.3652642,0.3125
1.0,112.0,2.410956,0.3125
1.0,113.0,2.3418615,0.3125
1.0,114.0,2.3616285,0.3125
1.0,115.0,2.3371942,0.1875
1.0,116.0,2.3011632,0.4375
1.0,117.0,2.4719365,0.3125
1.0,118.0,2.4089992,0.3125
1.0,119.0,2.361739,0.375
1.0,120.0,2.4086916,0.25
1.0,121.0,2.4388309,0.25
1.0,122.0,2.307556,0.5625
1.0,123.0,2.3466625,0.3125
1.0,124.0,2.329335,0.4375
1.0,125.0,2.3749676,0.5
1.0,126.0,2.372544,0.3125
1.0,127.0,2.398476,0.375
1.0,128.0,2.349166,0.4375
1.0,129.0,2.2390776,0.5625
1.0,130.0,2.3412158,0.25
1.0,131.0,2.3348446,0.25
1.0,132.0,2.2925272,0.375
1.0,133.0,2.255751,0.5625
1.0,134.0,2.260453,0.5
1.0,135.0,2.2393901,0.25
1.0,136.0,2.19828,0.5625
1.0,137.0,2.249827,0.375
1.0,138.0,2.2561626,0.5
1.0,139.0,2.2181606,0.625
1.0,140.0,2.3442519,0.375
1.0,141.0,2.2293,0.3125
1.0,142.0,2.2591205,0.5625
1.0,143.0,2.220451,0.5625
1.0,144.0,2.295015,0.4375
1.0,145.0,2.3062708,0.3125
1.0,146.0,2.3729808,0.375
1.0,147.0,2.3200927,0.3125
1.0,148.0,2.2689002,0.375
1.0,149.0,2.1832094,0.6875
1.0,150.0,2.470716,0.125
1.0,151.0,2.2941763,0.25
1.0,152.0,2.1986947,0.5
1.0,153.0,2.260628,0.375
1.0,154.0,2.2143807,0.4375
1.0,155.0,2.0552993,0.6875
1.0,156.0,2.156607,0.5
1.0,157.0,2.2158692,0.5
1.0,158.0,2.2569058,0.3125
1.0,159.0,2.2639318,0.25
1.0,160.0,2.214084,0.375
1.0,161.0,2.1944368,0.375
1.0,162.0,2.2935278,0.5
1.0,163.0,2.1120043,0.5
1.0,164.0,2.2019336,0.5625
1.0,165.0,2.117164,0.6875
1.0,166.0,2.194977,0.5
1.0,167.0,2.1091633,0.5625
1.0,168.0,2.1480834,0.625
1.0,169.0,2.155074,0.375
1.0,170.0,2.0838623,0.6875
1.0,171.0,2.1462831,0.4375
