Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,6.904502,0.0
1.0,1.0,6.9092436,0.0
1.0,2.0,6.905032,0.0
1.0,3.0,6.9104824,0.0
1.0,4.0,6.9072614,0.0
1.0,5.0,6.9043555,0.0
1.0,6.0,6.9084516,0.0
1.0,7.0,6.907303,0.0
1.0,8.0,6.907536,0.0
1.0,9.0,6.904487,0.0
1.0,10.0,6.9090304,0.0
1.0,11.0,6.9078827,0.0
1.0,12.0,6.9088326,0.0
1.0,13.0,6.9082937,0.0
1.0,14.0,6.909426,0.0
1.0,15.0,6.908766,0.0
1.0,16.0,6.9062634,0.0
1.0,17.0,6.9080086,0.0
1.0,18.0,6.9085727,0.0
1.0,19.0,6.9065075,0.0
1.0,20.0,6.9091544,0.0
1.0,21.0,6.9066033,0.0
1.0,22.0,6.906524,0.0
1.0,23.0,6.903778,0.0
1.0,24.0,6.909555,0.0
1.0,25.0,6.900353,0.0
1.0,26.0,6.9031777,0.0
1.0,27.0,6.901829,0.0
1.0,28.0,6.908086,0.0
1.0,29.0,6.903611,0.0
1.0,30.0,6.903115,0.0
1.0,31.0,6.8967743,0.0
1.0,32.0,6.905306,0.0
1.0,33.0,6.9035397,0.0
1.0,34.0,6.899629,0.0
1.0,35.0,6.901696,0.0
1.0,36.0,6.907343,0.0
1.0,37.0,6.905001,0.0
1.0,38.0,6.9070396,0.0
1.0,39.0,6.8989735,0.0
1.0,40.0,6.907167,0.0
1.0,41.0,6.8999443,0.0
1.0,42.0,6.900435,0.0
1.0,43.0,6.902276,0.0
1.0,44.0,6.8988385,0.0
1.0,45.0,6.9035516,0.0
1.0,46.0,6.8964195,0.0
1.0,47.0,6.895152,0.0
1.0,48.0,6.901483,0.0
1.0,49.0,6.904432,0.0
1.0,50.0,6.90302,0.0
1.0,51.0,6.901457,0.0625
1.0,52.0,6.9008703,0.0
1.0,53.0,6.899958,0.0
1.0,54.0,6.902571,0.0
1.0,55.0,6.8999543,0.0
1.0,56.0,6.8987517,0.0
1.0,57.0,6.9018507,0.0
1.0,58.0,6.902585,0.0
1.0,59.0,6.9008994,0.0
1.0,60.0,6.9003634,0.0
1.0,61.0,6.9001117,0.0
1.0,62.0,6.901463,0.0
1.0,63.0,6.9027724,0.0
1.0,64.0,6.899068,0.0
1.0,65.0,6.897213,0.0
1.0,66.0,6.9007974,0.0
1.0,67.0,6.8927507,0.0625
1.0,68.0,6.8998046,0.0
1.0,69.0,6.899022,0.0
1.0,70.0,6.8975296,0.0
1.0,71.0,6.9005113,0.0
1.0,72.0,6.895962,0.0
1.0,73.0,6.8984795,0.0625
1.0,74.0,6.899882,0.0625
1.0,75.0,6.8971853,0.0
1.0,76.0,6.8987045,0.0
1.0,77.0,6.8995996,0.0
1.0,78.0,6.903923,0.0
