Epoch,Batch,Train_Loss,Train_Accuracy,train_precision,train_recall,train_f1-score
0.0,0.0,2.8036654,0.0625,0.007692307692307693,0.07692307692307693,0.013986013986013986
1.0,1.0,2.75352,0.0625,0.008264462809917356,0.09090909090909091,0.015151515151515154
1.0,2.0,2.7355678,0.0,0.0,0.0,0.0
1.0,3.0,2.831715,0.0,0.0,0.0,0.0
1.0,4.0,2.7531123,0.0625,0.006944444444444444,0.041666666666666664,0.011904761904761904
1.0,5.0,2.8315926,0.0,0.0,0.0,0.0
1.0,6.0,2.6949592,0.0625,0.011904761904761904,0.08333333333333333,0.020833333333333332
1.0,7.0,2.6945198,0.125,0.018181818181818184,0.09090909090909091,0.030303030303030307
1.0,8.0,2.715187,0.0,0.0,0.0,0.0
1.0,9.0,2.7854068,0.0,0.0,0.0,0.0
1.0,10.0,2.724949,0.0625,0.09090909090909091,0.045454545454545456,0.0606060606060606
1.0,11.0,2.6720254,0.125,0.08571428571428572,0.10714285714285714,0.09183673469387756
1.0,12.0,2.7354121,0.125,0.03968253968253968,0.1111111111111111,0.05833333333333333
1.0,13.0,2.7171776,0.0,0.0,0.0,0.0
1.0,14.0,2.7643166,0.0625,0.08333333333333333,0.041666666666666664,0.05555555555555555
1.0,15.0,2.6179023,0.0625,0.03333333333333333,0.06666666666666667,0.04444444444444444
1.0,16.0,2.6920192,0.0,0.0,0.0,0.0
1.0,17.0,2.5718176,0.3125,0.12987012987012989,0.12878787878787878,0.12231404958677686
1.0,18.0,2.6905794,0.0625,0.007575757575757576,0.08333333333333333,0.01388888888888889
1.0,19.0,2.6500547,0.125,0.04945054945054945,0.10256410256410256,0.06666666666666667
1.0,20.0,2.672389,0.0,0.0,0.0,0.0
1.0,21.0,2.609325,0.125,0.057692307692307696,0.0641025641025641,0.06043956043956045
1.0,22.0,2.7046351,0.0,0.0,0.0,0.0
1.0,23.0,2.6657133,0.125,0.021978021978021976,0.07692307692307693,0.03418803418803419
1.0,24.0,2.6151824,0.125,0.08974358974358974,0.07692307692307693,0.07051282051282051
1.0,25.0,2.67673,0.0,0.0,0.0,0.0
1.0,26.0,2.6249166,0.125,0.05555555555555556,0.18181818181818182,0.07878787878787878
1.0,27.0,2.6050124,0.1875,0.10909090909090909,0.1212121212121212,0.07575757575757576
1.0,28.0,2.6620955,0.0,0.0,0.0,0.0
1.0,29.0,2.6322331,0.1875,0.07083333333333333,0.25,0.11000000000000001
1.0,30.0,2.6228309,0.1875,0.05612244897959184,0.10714285714285714,0.06746031746031746
1.0,31.0,2.575566,0.1875,0.12962962962962962,0.12962962962962962,0.12962962962962962
1.0,32.0,2.5304866,0.25,0.03333333333333333,0.06666666666666667,0.044444444444444446
1.0,33.0,2.5385365,0.25,0.12962962962962965,0.18518518518518517,0.12063492063492065
1.0,34.0,2.6542122,0.1875,0.06428571428571428,0.2,0.09166666666666666
1.0,35.0,2.647555,0.0625,0.006944444444444444,0.08333333333333333,0.012820512820512822
1.0,36.0,2.6307535,0.0625,0.08333333333333333,0.08333333333333333,0.08333333333333333
1.0,37.0,2.5910435,0.1875,0.09401709401709403,0.1282051282051282,0.10256410256410256
1.0,38.0,2.552538,0.1875,0.09722222222222222,0.16666666666666666,0.10714285714285714
1.0,39.0,2.662668,0.0,0.0,0.0,0.0
1.0,40.0,2.542304,0.1875,0.2121212121212121,0.11363636363636363,0.13333333333333333
1.0,41.0,2.6051512,0.125,0.1111111111111111,0.125,0.09722222222222221
1.0,42.0,2.5499854,0.25,0.25757575757575757,0.22727272727272727,0.2121212121212121
1.0,43.0,2.6207917,0.0625,0.02564102564102564,0.02564102564102564,0.02564102564102564
1.0,44.0,2.629381,0.0,0.0,0.0,0.0
1.0,45.0,2.534709,0.1875,0.19444444444444442,0.20833333333333334,0.18055555555555555
1.0,46.0,2.6375728,0.0625,0.010989010989010988,0.07692307692307693,0.019230769230769232
1.0,47.0,2.678239,0.0625,0.038461538461538464,0.07692307692307693,0.05128205128205128
1.0,48.0,2.6525552,0.1875,0.19230769230769232,0.1794871794871795,0.16666666666666666
1.0,49.0,2.5679646,0.1875,0.12820512820512822,0.23076923076923078,0.15018315018315015
1.0,50.0,2.5921755,0.0625,0.020833333333333332,0.08333333333333333,0.03333333333333333
1.0,51.0,2.5519943,0.375,0.2202380952380952,0.39285714285714285,0.26666666666666666
1.0,52.0,2.5442169,0.1875,0.20833333333333334,0.125,0.15277777777777776
1.0,53.0,2.553569,0.3125,0.15277777777777776,0.2916666666666667,0.19722222222222222
1.0,54.0,2.5610828,0.125,0.10256410256410256,0.11538461538461539,0.08974358974358973
1.0,55.0,2.4813607,0.25,0.16666666666666666,0.25,0.19444444444444442
1.0,56.0,2.5541074,0.25,0.14285714285714285,0.17857142857142858,0.14285714285714285
1.0,57.0,2.485352,0.25,0.23611111111111108,0.20833333333333334,0.19444444444444442
1.0,58.0,2.4550426,0.25,0.11212121212121212,0.16666666666666666,0.12467532467532468
1.0,59.0,2.5299866,0.25,0.1875,0.14583333333333334,0.1597222222222222
1.0,60.0,2.4873185,0.125,0.18181818181818182,0.07575757575757575,0.10606060606060605
1.0,61.0,2.5525033,0.125,0.11538461538461539,0.10256410256410256,0.10769230769230768
1.0,62.0,2.582007,0.0625,0.011904761904761904,0.08333333333333333,0.020833333333333332
1.0,63.0,2.6016543,0.0625,0.01111111111111111,0.06666666666666667,0.019047619047619046
