Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,2.762669,0.125
1.0,1.0,2.8034117,0.0
1.0,2.0,2.6404874,0.0625
1.0,3.0,2.7178855,0.0625
1.0,4.0,2.741507,0.0625
1.0,5.0,2.7325723,0.0
1.0,6.0,2.733435,0.0
1.0,7.0,2.7773721,0.125
1.0,8.0,2.7285194,0.0625
1.0,9.0,2.6831987,0.1875
1.0,10.0,2.71446,0.0625
1.0,11.0,2.681889,0.0
1.0,12.0,2.5479527,0.3125
1.0,13.0,2.6914883,0.125
1.0,14.0,2.7925818,0.0
1.0,15.0,2.7607176,0.0625
1.0,16.0,2.6800666,0.0
1.0,17.0,2.6273057,0.125
1.0,18.0,2.6360068,0.1875
1.0,19.0,2.5502095,0.1875
1.0,20.0,2.700755,0.0
1.0,21.0,2.6901407,0.0
1.0,22.0,2.672968,0.25
1.0,23.0,2.6498165,0.125
1.0,24.0,2.656951,0.0625
1.0,25.0,2.5611265,0.125
1.0,26.0,2.5622044,0.25
1.0,27.0,2.6404932,0.0625
1.0,28.0,2.602236,0.125
1.0,29.0,2.6439521,0.25
1.0,30.0,2.608129,0.125
1.0,31.0,2.6139011,0.0625
1.0,32.0,2.6933556,0.0
1.0,33.0,2.6995099,0.0
1.0,34.0,2.566035,0.1875
1.0,35.0,2.6653633,0.0625
1.0,36.0,2.6452975,0.0625
1.0,37.0,2.6694567,0.0625
1.0,38.0,2.5928812,0.25
1.0,39.0,2.5388477,0.3125
1.0,40.0,2.538507,0.125
1.0,41.0,2.5650854,0.125
1.0,42.0,2.4905262,0.125
1.0,43.0,2.506035,0.1875
1.0,44.0,2.6727955,0.0625
1.0,45.0,2.579556,0.125
1.0,46.0,2.6550584,0.0
1.0,47.0,2.6053884,0.125
1.0,48.0,2.5969326,0.0625
1.0,49.0,2.5277486,0.1875
1.0,50.0,2.4996586,0.25
1.0,51.0,2.5718286,0.0625
1.0,52.0,2.4552302,0.375
1.0,53.0,2.603812,0.375
1.0,54.0,2.5484333,0.125
1.0,55.0,2.5178459,0.3125
1.0,56.0,2.6487844,0.1875
1.0,57.0,2.5564525,0.1875
1.0,58.0,2.4834626,0.375
1.0,59.0,2.597997,0.0
1.0,60.0,2.5972862,0.25
1.0,61.0,2.5647516,0.1875
1.0,62.0,2.3821852,0.4375
1.0,63.0,2.541974,0.25
1.0,64.0,2.5509903,0.125
1.0,65.0,2.4992182,0.3125
1.0,66.0,2.535365,0.3125
1.0,67.0,2.4500546,0.25
1.0,68.0,2.5131955,0.1875
1.0,69.0,2.3617046,0.4375
1.0,70.0,2.5618181,0.125
1.0,71.0,2.6056685,0.0625
1.0,72.0,2.4813592,0.25
1.0,73.0,2.3967643,0.375
1.0,74.0,2.5875454,0.1875
1.0,75.0,2.5229068,0.1875
1.0,76.0,2.4553714,0.125
1.0,77.0,2.423221,0.3125
1.0,78.0,2.4578433,0.3125
1.0,79.0,2.443027,0.3125
1.0,80.0,2.4609838,0.375
1.0,81.0,2.5781376,0.1875
1.0,82.0,2.4709795,0.125
1.0,83.0,2.5466187,0.125
1.0,84.0,2.4515486,0.25
1.0,85.0,2.5410717,0.125
1.0,86.0,2.4752662,0.1875
1.0,87.0,2.368788,0.5625
1.0,88.0,2.4240003,0.5
1.0,89.0,2.4135773,0.4375
1.0,90.0,2.4666185,0.375
1.0,91.0,2.3937871,0.4375
1.0,92.0,2.3673444,0.4375
1.0,93.0,2.4317508,0.375
1.0,94.0,2.4116733,0.375
1.0,95.0,2.4253983,0.375
1.0,96.0,2.3674262,0.375
1.0,97.0,2.4359002,0.375
1.0,98.0,2.3583622,0.3125
1.0,99.0,2.3919353,0.3125
1.0,100.0,2.416365,0.0625
1.0,101.0,2.2705138,0.375
1.0,102.0,2.3903382,0.4375
1.0,103.0,2.4598048,0.5
1.0,104.0,2.3357408,0.5
1.0,105.0,2.443939,0.3125
1.0,106.0,2.4550688,0.125
1.0,107.0,2.2838671,0.625
1.0,108.0,2.3916686,0.375
1.0,109.0,2.2653844,0.625
1.0,110.0,2.371834,0.3125
1.0,111.0,2.4353168,0.25
1.0,112.0,2.3987236,0.125
1.0,113.0,2.5367706,0.3125
1.0,114.0,2.3262095,0.4375
1.0,115.0,2.3166578,0.5
1.0,116.0,2.3610935,0.4375
1.0,117.0,2.3318422,0.375
1.0,118.0,2.2654686,0.5625
1.0,119.0,2.295969,0.375
1.0,120.0,2.4308033,0.1875
1.0,121.0,2.2480435,0.625
1.0,122.0,2.3393648,0.375
1.0,123.0,2.2853327,0.625
1.0,124.0,2.4006753,0.375
1.0,125.0,2.3077471,0.5
1.0,126.0,2.2039163,0.5625
1.0,127.0,2.3700325,0.3125
1.0,128.0,2.2779078,0.375
1.0,129.0,2.2711606,0.4375
1.0,130.0,2.333193,0.4375
1.0,131.0,2.1286788,0.6875
1.0,132.0,2.2792919,0.5
1.0,133.0,2.3528733,0.375
1.0,134.0,2.1797729,0.625
1.0,135.0,2.2677264,0.5625
1.0,136.0,2.2650433,0.5
1.0,137.0,2.3810258,0.4375
1.0,138.0,2.2758672,0.5
