Epoch,Batch,Train_Loss,Train_Accuracy
0.0,0.0,2.5025787,0.0625
1.0,1.0,2.476754,0.125
1.0,2.0,2.4801884,0.0625
1.0,3.0,2.4928515,0.125
1.0,4.0,2.5211651,0.0
1.0,5.0,2.4787183,0.125
1.0,6.0,2.499565,0.125
1.0,7.0,2.4930818,0.125
1.0,8.0,2.4734132,0.125
1.0,9.0,2.4673839,0.0625
1.0,10.0,2.4674106,0.25
1.0,11.0,2.4844182,0.125
1.0,12.0,2.4874012,0.1875
1.0,13.0,2.490256,0.0
1.0,14.0,2.479717,0.0625
1.0,15.0,2.4635577,0.125
1.0,16.0,2.5399761,0.0
1.0,17.0,2.4756403,0.0
1.0,18.0,2.5027728,0.0
1.0,19.0,2.4440663,0.125
1.0,20.0,2.5020788,0.0625
1.0,21.0,2.49258,0.0625
1.0,22.0,2.4995131,0.125
1.0,23.0,2.4748445,0.125
1.0,24.0,2.4551117,0.0625
1.0,25.0,2.4680314,0.0625
1.0,26.0,2.4843237,0.1875
1.0,27.0,2.4546566,0.25
1.0,28.0,2.463915,0.125
1.0,29.0,2.4940662,0.125
1.0,30.0,2.4790478,0.1875
1.0,31.0,2.5105677,0.0
1.0,32.0,2.526328,0.0
1.0,33.0,2.4770045,0.125
1.0,34.0,2.4816236,0.0625
1.0,35.0,2.4815342,0.0625
1.0,36.0,2.4923687,0.0
1.0,37.0,2.4734282,0.1875
1.0,38.0,2.4992661,0.125
1.0,39.0,2.4707007,0.125
1.0,40.0,2.4647021,0.1875
1.0,41.0,2.4718192,0.1875
1.0,42.0,2.467307,0.1875
1.0,43.0,2.4652872,0.1875
1.0,44.0,2.4911711,0.125
1.0,45.0,2.4581146,0.3125
1.0,46.0,2.4748256,0.0625
1.0,47.0,2.4850702,0.125
1.0,48.0,2.4800105,0.125
1.0,49.0,2.4455116,0.0625
1.0,50.0,2.4742723,0.125
1.0,51.0,2.4405959,0.1875
1.0,52.0,2.4927356,0.0625
1.0,53.0,2.4791622,0.1875
1.0,54.0,2.4769063,0.25
1.0,55.0,2.430873,0.1875
1.0,56.0,2.451503,0.25
1.0,57.0,2.4591706,0.3125
1.0,58.0,2.447186,0.0625
1.0,59.0,2.4694,0.25
1.0,60.0,2.4720783,0.1875
1.0,61.0,2.4472897,0.125
1.0,62.0,2.485446,0.1875
1.0,63.0,2.4410865,0.25
1.0,64.0,2.4034135,0.3125
1.0,65.0,2.5028985,0.0625
1.0,66.0,2.4529793,0.125
1.0,67.0,2.4796891,0.0625
1.0,68.0,2.4635904,0.1875
1.0,69.0,2.4341612,0.25
1.0,70.0,2.4662802,0.125
1.0,71.0,2.4578202,0.125
1.0,72.0,2.425396,0.125
1.0,73.0,2.4544117,0.125
1.0,74.0,2.4692335,0.125
1.0,75.0,2.4896078,0.0625
1.0,76.0,2.481277,0.0
1.0,77.0,2.433052,0.25
1.0,78.0,2.4643312,0.125
1.0,79.0,2.454784,0.1875
1.0,80.0,2.4183571,0.0625
1.0,81.0,2.4557834,0.125
1.0,82.0,2.4617336,0.125
