图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,FM-ED-预测置信度,FM-LD-预测置信度,FM-MD-预测置信度,FM-OM-预测置信度,FM-SD-预测置信度,HF-ED-预测置信度,HF-LD-预测置信度,HF-MD-预测置信度,HF-OM-预测置信度,HF-SD-预测置信度,RJ-ED-预测置信度,RJ-LD-预测置信度,RJ-MD-预测置信度,RJ-OM-预测置信度,RJ-SD-预测置信度
../Image/Train_Image\test\FM-ED\IMG_20230524_113652_1.jpg,0,FM-ED,4.0,FM-SD,0.0,FM-ED,3.0,FM-OM,1.0,FM-LD,1.0,0.093680166,0.023170173,0.022224382,0.034883168,0.7691156,0.020594534,0.0066370806,0.010081157,0.0012714854,0.007301638,0.0026007048,0.0010457751,0.0038208058,0.0005069675,0.0030663467
../Image/Train_Image\test\FM-ED\IMG_20230524_113653.jpg,0,FM-ED,4.0,FM-SD,0.0,FM-ED,3.0,FM-OM,5.0,HF-ED,1.0,0.07569031,0.01872301,0.016515933,0.031346973,0.78594905,0.029137496,0.0076781795,0.011558758,0.0014272003,0.009827025,0.0032423583,0.0011642607,0.003550376,0.0005666328,0.003622435
../Image/Train_Image\test\FM-ED\IMG_20230524_113702.jpg,0,FM-ED,4.0,FM-SD,0.0,FM-ED,1.0,FM-LD,2.0,FM-MD,1.0,0.33955923,0.07737125,0.07708705,0.04432261,0.37649,0.013435357,0.010903699,0.039342713,0.0020473953,0.004540024,0.0038567847,0.0010486483,0.0050054817,0.0007330372,0.004256778
../Image/Train_Image\test\FM-ED\IMG_20230524_113702_1.jpg,0,FM-ED,0.0,FM-ED,4.0,FM-SD,1.0,FM-LD,2.0,FM-MD,1.0,0.39149368,0.08521665,0.07528198,0.047767613,0.3248128,0.013066108,0.010542267,0.0326587,0.001624403,0.0044927243,0.0032774082,0.0010211072,0.004310001,0.0006633663,0.0037712106
../Image/Train_Image\test\FM-ED\IMG_20230524_113706.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,1.0,FM-LD,1.0,0.5628375,0.020130886,0.27501002,0.102231294,0.010498929,0.002717654,0.0030209303,0.012192155,0.0008503205,0.0011522255,0.0016652817,0.00059317733,0.0020766242,0.00053533254,0.004487689
../Image/Train_Image\test\FM-ED\IMG_20230524_113706_1.jpg,0,FM-ED,0.0,FM-ED,2.0,FM-MD,3.0,FM-OM,1.0,FM-LD,1.0,0.550713,0.024512136,0.27561903,0.08764423,0.02133211,0.0037957376,0.004101757,0.018915989,0.0011357768,0.0018044238,0.0019677894,0.0006915552,0.0026258954,0.00062546734,0.0045151096
../Image/Train_Image\test\FM-ED\IMG_20230524_113711_2.jpg,0,FM-ED,4.0,FM-SD,0.0,FM-ED,1.0,FM-LD,7.0,HF-MD,1.0,0.06624782,0.030133065,0.0077818767,0.008243181,0.8507094,0.008542784,0.0051437495,0.014604998,0.0006510009,0.0033569925,0.0011674735,0.00033433017,0.001758487,0.00017170858,0.0011530789
../Image/Train_Image\test\FM-ED\IMG_20230524_113712.jpg,0,FM-ED,4.0,FM-SD,0.0,FM-ED,1.0,FM-LD,7.0,HF-MD,1.0,0.06495228,0.031129187,0.00772541,0.0074666915,0.8457277,0.009791204,0.0059959944,0.017482145,0.0007328756,0.0036241123,0.0013628437,0.00040119473,0.0020467548,0.00021062359,0.0013511409
../Image/Train_Image\test\FM-ED\IMG_20230524_113716_1.jpg,0,FM-ED,4.0,FM-SD,1.0,FM-LD,0.0,FM-ED,5.0,HF-ED,1.0,0.027878093,0.031021222,0.0026823678,0.003424477,0.9201969,0.0058835726,0.0015485997,0.00403052,0.000117876705,0.0019000756,0.00025181682,0.00013937862,0.00050273276,7.489321e-05,0.00034742555
../Image/Train_Image\test\FM-ED\IMG_20230524_113717.jpg,0,FM-ED,4.0,FM-SD,0.0,FM-ED,1.0,FM-LD,3.0,FM-OM,1.0,0.09253316,0.054900523,0.013317368,0.01954813,0.79703027,0.007999006,0.0026835802,0.0059951656,0.00030232617,0.0023382741,0.00074912416,0.00034027494,0.0010106871,0.00021414299,0.0010379696
