类别,precision,recall,f1-score,support,accuracy
开花成熟-中旱,0.8888888888888888,0.96,0.923076923076923,50.0,0.96
开花成熟-轻旱,1.0,1.0,1.0,50.0,1.0
开花成熟-适宜,0.9772727272727273,0.86,0.9148936170212766,50.0,0.86
开花成熟-重旱,0.9615384615384616,1.0,0.9803921568627451,50.0,1.0
抽穗开花-中旱,0.9574468085106383,0.9,0.9278350515463918,50.0,0.9
抽穗开花-轻旱,0.8095238095238095,0.68,0.7391304347826089,50.0,0.68
抽穗开花-适宜,0.8771929824561403,1.0,0.9345794392523363,50.0,1.0
抽穗开花-重旱,1.0,0.92,0.9583333333333334,50.0,0.92
起身拔节-中旱,0.5172413793103449,0.3,0.379746835443038,50.0,0.3
起身拔节-轻旱,0.47474747474747475,0.94,0.6308724832214765,50.0,0.94
起身拔节-适宜,1.0,0.22,0.36065573770491804,50.0,0.22
起身拔节-重旱,0.4492753623188406,0.62,0.5210084033613446,50.0,0.62
macro avg,0.8260939912139437,0.7833333333333333,0.7725437013005328,600.0,0.7833333333333333
weighted avg,0.8260939912139439,0.7833333333333333,0.7725437013005326,600.0,0.7833333333333333
