图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,FMP-ED-预测置信度,FMP-LD-预测置信度,FMP-MD-预测置信度,FMP-OM-预测置信度,FMP-SD-预测置信度,HFP-ED-预测置信度,HFP-LD-预测置信度,HFP-MD-预测置信度,HFP-OM-预测置信度,HFP-SD-预测置信度,SJP-ED-预测置信度,SJP-LD-预测置信度,SJP-MD-预测置信度,SJP-OM-预测置信度,SJP-SD-预测置信度
../Image/Train_Image\test\FMP-ED\IMG_20230524_113652_1.jpg,0,FMP-ED,0.0,FMP-ED,4.0,FMP-SD,3.0,FMP-OM,2.0,FMP-MD,1.0,0.84640825,0.00011585235,0.015627632,0.03888838,0.09716515,0.000748222,2.3833727e-05,4.1115847e-05,9.411327e-06,0.0002996929,0.00019617479,1.4165445e-05,0.00020123721,0.00021961654,4.1320483e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113653.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,3.0,FMP-OM,1.0,0.8576119,0.00020917214,0.10698986,0.0034388078,0.02925005,0.0006852563,1.2920365e-06,2.4072624e-06,4.2647594e-06,0.00079898466,0.0006719594,4.8715698e-05,0.00018507816,7.389171e-05,2.8323087e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113702.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,5.0,HFP-ED,1.0,0.98026454,0.000119577184,0.013823576,0.00045270202,0.0033568107,0.0015253668,2.3159064e-05,4.958362e-05,1.8304756e-06,0.00027515987,4.086701e-05,3.6781657e-07,2.6743282e-05,2.5484508e-06,3.701828e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113702_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,3.0,FMP-OM,1.0,0.9831645,2.761425e-05,0.014179769,0.00044120903,0.001580199,0.00031833994,3.8338126e-06,1.17568125e-05,5.9141216e-06,0.0002009128,1.3203156e-05,3.2587872e-07,3.656766e-05,1.1069679e-06,1.4833033e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113706.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,5.0,HFP-ED,2.0,FMP-MD,1.0,0.99809927,7.203251e-07,0.0002938426,0.00080991734,6.595303e-05,0.00053301797,1.3918303e-06,8.769478e-07,8.522169e-07,0.00018478963,4.616902e-06,2.970869e-08,2.4106216e-06,6.431555e-08,2.26501e-06
../Image/Train_Image\test\FMP-ED\IMG_20230524_113706_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,5.0,HFP-ED,1.0,0.9806198,5.5728957e-05,0.017373698,0.0002899758,0.00088095415,0.00049465284,8.892947e-06,2.1897124e-06,3.2434937e-07,0.0002267493,2.1160457e-05,1.5870448e-06,1.4257886e-05,9.648348e-07,9.103178e-06
../Image/Train_Image\test\FMP-ED\IMG_20230524_113711_2.jpg,0,FMP-ED,0.0,FMP-ED,4.0,FMP-SD,3.0,FMP-OM,5.0,HFP-ED,1.0,0.9889454,1.7834123e-05,0.00013217468,0.0001908585,0.010397961,0.00016156495,2.2227491e-06,9.6608655e-06,2.3379453e-06,9.060994e-05,8.784297e-06,8.551774e-08,8.92257e-06,4.650229e-06,2.6974169e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113712.jpg,0,FMP-ED,0.0,FMP-ED,4.0,FMP-SD,2.0,FMP-MD,3.0,FMP-OM,1.0,0.8370592,2.7211196e-05,0.0011185232,0.00014689782,0.1615954,2.0349655e-05,1.3555645e-06,5.3634626e-06,4.269514e-07,1.3829617e-05,5.2855603e-06,3.5545828e-08,5.376553e-06,3.1791803e-08,7.3419375e-07
../Image/Train_Image\test\FMP-ED\IMG_20230524_113716_1.jpg,0,FMP-ED,4.0,FMP-SD,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,1.0,0.4669387,0.00013569978,0.0044332445,0.0020440032,0.52622163,2.8243918e-05,8.338494e-06,2.0812267e-06,1.0675495e-07,2.0367132e-05,0.00013016733,1.02036e-06,1.2616918e-05,4.026276e-06,1.9765665e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113717.jpg,0,FMP-ED,4.0,FMP-SD,0.0,FMP-ED,2.0,FMP-MD,1.0,FMP-LD,1.0,0.32604668,0.005212239,0.14953983,0.002004209,0.5164126,0.00016722947,4.3097836e-05,4.86459e-05,6.5465514e-07,8.6774335e-06,6.360561e-05,1.1939559e-06,6.2740895e-05,3.983905e-06,0.00038456434
