年份,3月平均气温,4月平均气温,5月平均气温,3月平均降雨量,4月平均降雨量,5月平均降雨量,气象干旱程度
2014,12.0,15.0,24.0,22.0,60.0,24.0,-0.2216182208649969
2015,10.0,12.0,21.0,36.0,80.0,85.0,-0.1703101482426061
2016,12.0,17.0,23.0,6.0,30.0,40.0,-0.0623026747988677
2017,11.0,18.0,22.0,4.0,25.0,66.0,0.0769725338576645
2018,11.0,17.0,21.0,20.0,64.0,80.0,-0.0308652509234609
2019,12.0,14.0,24.0,3.0,40.0,5.0,-0.2422441940199321
2020,10.0,15.0,23.0,8.0,35.0,28.0,-0.1679858662836358
2021,9.0,13.0,22.0,34.0,30.0,36.0,0.2124416373187661
2022,10.0,12.0,24.0,36.0,42.0,6.0,-0.1034216565347121
2023,14.0,16.0,21.0,40.0,80.0,168.0,-0.0069560685544142
2024,,,,,,,-0.0287844831740564
2024,,,,,,,-0.01866498899544082
